Dataset,Model,Precision,Recall,mAP@0.5,mAP@0.5:0.95,Preprocess (ms/img),Inference (ms/img),Postprocess (ms/img),Total (ms/img),FPS
MergedData,YOLOv11mMergedData960,0.823,0.824,0.858,0.759,5.14,691.61,0.43,697.18,1.4
MergedData,YOLOv8mMerged,0.851,0.833,0.861,0.758,4.32,650.35,0.43,655.11,1.5
MergedData,YOLOv8sMerged,0.845,0.819,0.857,0.719,2.42,254.06,0.45,256.92,3.9
MergedData,YOLOv11sMergedData960,0.805,0.817,0.845,0.707,3.18,276.4,0.49,280.07,3.6
MergedData,YOLOv11nMergedData960,0.806,0.809,0.817,0.673,3.1,125.1,0.59,128.8,7.8
MergedData,YOLOv8nMerged,0.783,0.742,0.786,0.595,0.88,54.54,0.46,55.88,17.9
MergedData,YOLOv11sNickData960,0.393,0.293,0.233,0.124,3.25,274.05,0.39,277.69,3.6
MergedData,YOLOv11mNickData960,0.381,0.304,0.232,0.121,5.3,650.24,0.4,655.94,1.5
MergedData,YOLOv8mNick,0.372,0.312,0.23,0.115,0.36,153.64,0.24,154.24,6.5
MergedData,YOLOv11nNickData960,0.389,0.282,0.222,0.11,2.33,126.28,0.53,129.14,7.7
MergedData,YOLOv8sNick,0.378,0.301,0.21,0.102,0.7,151.79,0.29,152.77,6.5
MergedData,YOLOv8nNick,0.379,0.315,0.225,0.102,0.93,55.95,0.77,57.66,17.3
,,,,,,,,,,
REU_Oyster_2024_Improved-2,YOLOv11sNickData960,0.911,0.839,0.899,0.705,1.06,145.55,0.14,146.75,6.8
REU_Oyster_2024_Improved-2,YOLOv11mNickData960,0.917,0.841,0.929,0.703,1.52,341.77,0.14,343.44,2.9
REU_Oyster_2024_Improved-2,YOLOv8mNick,0.874,0.844,0.9,0.681,1.63,313.23,0.33,315.2,3.2
REU_Oyster_2024_Improved-2,YOLOv11nNickData960,0.891,0.828,0.904,0.67,0.72,53.25,0.16,54.13,18.5
REU_Oyster_2024_Improved-2,YOLOv8sNick,0.862,0.862,0.9,0.659,4.41,289.09,0.38,293.89,3.4
REU_Oyster_2024_Improved-2,YOLOv8nNick,0.898,0.78,0.894,0.644,2.44,125.12,0.64,128.2,7.8
REU_Oyster_2024_Improved-2,YOLOv11sMergedData960,0.924,0.812,0.903,0.538,0.93,126.49,0.17,127.6,7.8
REU_Oyster_2024_Improved-2,YOLOv11mMergedData960,0.881,0.819,0.869,0.517,1.03,337.55,0.17,338.75,3
REU_Oyster_2024_Improved-2,YOLOv8sMerged,0.855,0.88,0.899,0.514,1.95,214.41,0.3,216.67,4.6
REU_Oyster_2024_Improved-2,YOLOv8mMerged,0.84,0.868,0.855,0.511,0.84,356.29,0.2,357.33,2.8
REU_Oyster_2024_Improved-2,YOLOv11nMergedData960,0.846,0.842,0.878,0.506,0.68,46.68,0.23,47.58,21
REU_Oyster_2024_Improved-2,YOLOv8nMerged,0.785,0.822,0.857,0.482,2.57,114.05,0.47,117.09,8.5
