                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7324,                 2.1122,                 1.8779,                0.17017,                0.25881,                0.15083,                0.07155,                0.65379,                 120.63,                0.65771,             0.00047536,             0.00047536,             0.00047536
                      2,                 1.7189,                 2.0164,                  1.894,                0.27883,                0.21669,                0.18128,                 0.0819,                0.61818,                 218.75,                0.64238,             0.00093285,             0.00093285,             0.00093285
                      3,                 1.6763,                  1.945,                 1.8625,                0.22978,                0.36135,                0.26661,                0.14778,                0.49592,                 62.524,                0.55199,              0.0013715,              0.0013715,              0.0013715
                      4,                 1.6165,                 1.8265,                 1.8204,                0.30562,                0.42926,                0.31936,                 0.1843,                0.49146,                 150.44,                0.53687,              0.0013441,              0.0013441,              0.0013441
                      5,                  1.565,                 1.7303,                 1.7812,                0.51353,                0.38375,                0.42514,                0.25924,                0.45537,                 17.665,                0.52171,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.5258,                 1.6459,                 1.7586,                 0.6486,                0.37231,                0.46702,                0.29114,                0.44043,                 22.704,                0.49667,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.4844,                 1.5727,                  1.719,                 0.7093,                0.38908,                0.46317,                0.28968,                0.41875,                 17.548,                0.49373,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.4612,                  1.524,                 1.7032,                0.74227,                 0.4265,                0.52282,                0.33024,                  0.403,                 36.612,                0.47555,              0.0012309,              0.0012309,              0.0012309
                      9,                  1.428,                 1.4527,                 1.6791,                0.60149,                 0.4963,                0.54374,                0.36454,                0.38522,                 64.992,                0.47687,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.4038,                  1.412,                 1.6651,                0.73541,                 0.4627,                0.57224,                0.38241,                0.37822,                 26.938,                0.47248,              0.0011744,              0.0011744,              0.0011744
