                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.718,                 2.3279,                 1.7718,                0.19934,                0.24101,                 0.1874,                0.08809,                0.53478,                  45.72,                0.54591,             0.00047536,             0.00047536,             0.00047536
                      2,                 1.6724,                  2.029,                 1.7472,                0.61006,                0.17476,                0.18254,                0.08702,                0.62386,                 103.32,                 0.5996,             0.00093285,             0.00093285,             0.00093285
                      3,                 1.6705,                 1.9496,                 1.7389,                0.51909,                 0.2649,                0.27189,                0.14262,                0.51267,                 65.362,                0.54332,              0.0013715,              0.0013715,              0.0013715
                      4,                 1.6362,                 1.8581,                 1.7246,                0.39423,                0.39117,                0.35823,                0.21228,                0.46771,                 23.354,                0.49852,              0.0013441,              0.0013441,              0.0013441
                      5,                  1.606,                 1.8095,                 1.7035,                0.43391,                0.33915,                0.35709,                0.21017,                0.45709,                 15.934,                0.48907,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.5777,                 1.7382,                 1.6801,                0.48909,                 0.4069,                0.40448,                0.23424,                0.46209,                 40.455,                0.48847,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.5498,                 1.6777,                 1.6518,                 0.5483,                0.40248,                 0.4014,                0.23369,                0.45404,                 37.712,                0.47499,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.5267,                 1.6393,                 1.6345,                0.60644,                0.41957,                0.45019,                0.26684,                0.41943,                 29.556,                0.45612,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.5055,                 1.5904,                  1.617,                0.60802,                0.47713,                0.50285,                0.28445,                0.46111,                 33.531,                0.47151,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.4874,                 1.5491,                 1.6079,                0.67229,                0.43329,                0.50503,                0.30016,                0.42044,                 36.419,                0.45354,              0.0011744,              0.0011744,              0.0011744
                     11,                  1.477,                 1.5204,                 1.5888,                0.70837,                0.49072,                0.54482,                0.32865,                0.40472,                 28.038,                0.44791,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.4621,                 1.4956,                 1.5816,                0.64769,                0.52124,                0.57069,                 0.3475,                0.41799,                  37.18,                0.44332,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.4383,                 1.4474,                 1.5692,                0.68128,                0.50908,                0.56422,                0.34187,                0.39541,                  14.62,                0.43553,              0.0010895,              0.0010895,              0.0010895
