                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.728,                 2.1111,                 1.8228,                0.65624,                0.21268,                0.21942,                0.08858,                0.61567,                 92.521,                0.61181,             0.00047536,             0.00047536,             0.00047536
                      2,                 1.6932,                 1.9374,                 1.8014,                0.29527,                0.24421,                0.23575,                0.11231,                0.60166,                 221.81,                0.59101,             0.00093285,             0.00093285,             0.00093285
                      3,                 1.6725,                 1.8702,                 1.7769,                0.41705,                0.38823,                0.32484,                0.18979,                0.48181,                 37.378,                0.50782,              0.0013715,              0.0013715,              0.0013715
                      4,                 1.6179,                 1.7714,                 1.7455,                0.58162,                0.35877,                0.39061,                0.23453,                0.47861,                 69.983,                 0.4977,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.5775,                 1.7069,                 1.7176,                0.49771,                 0.4036,                0.45831,                0.27705,                 0.4348,                 16.997,                0.47685,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.5339,                 1.6276,                 1.6874,                 0.7256,                0.44921,                0.53308,                0.31765,                0.41433,                 17.975,                0.46689,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.4988,                 1.5495,                 1.6511,                0.58806,                0.51453,                 0.5291,                0.30548,                0.42308,                  19.87,                0.46779,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.4805,                 1.5136,                 1.6362,                0.71386,                0.40288,                0.50054,                0.29567,                0.40529,                 46.846,                0.44748,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.4485,                  1.444,                 1.6072,                0.64022,                0.48188,                0.56648,                0.36331,                0.37438,                 23.149,                0.42991,              0.0012026,              0.0012026,              0.0012026
                     10,                  1.426,                  1.407,                 1.5989,                0.87597,                0.43505,                 0.5646,                 0.3676,                 0.3791,                 13.867,                0.43298,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.4039,                 1.3646,                  1.575,                0.81174,                0.49242,                0.61408,                 0.4004,                0.37653,                 13.176,                0.43618,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.3917,                 1.3266,                 1.5617,                0.70302,                0.51291,                0.60347,                0.39467,                0.38385,                  38.44,                0.43463,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.3551,                 1.2749,                 1.5431,                 0.8021,                0.57654,                0.66266,                0.43755,                0.35146,                 15.215,                0.41457,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.3483,                 1.2564,                 1.5277,                0.76239,                 0.5806,                 0.6544,                0.43439,                0.36801,                 9.7895,                0.42369,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.3253,                 1.2234,                 1.5104,                0.84715,                0.54386,                0.68799,                0.46317,                0.33823,                 13.585,                0.40531,              0.0010329,              0.0010329,              0.0010329
                     16,                 1.3078,                 1.1802,                 1.4937,                0.77139,                0.53959,                0.64297,                0.43291,                0.35825,                 11.897,                0.41368,              0.0010046,              0.0010046,              0.0010046
                     17,                    1.3,                 1.1694,                 1.4876,                0.71847,                 0.6005,                0.65596,                0.43162,                0.36063,                 19.311,                0.41482,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.2817,                  1.141,                 1.4751,                0.83325,                0.64043,                0.72639,                0.51307,                 0.3104,                 11.083,                0.38677,               0.000948,               0.000948,               0.000948
                     19,                 1.2572,                 1.0989,                 1.4567,                0.75719,                0.64472,                0.73641,                0.51963,                  0.315,                 12.914,                0.39212,              0.0009197,              0.0009197,              0.0009197
                     20,                 1.2458,                 1.0822,                 1.4448,                0.75827,                0.69864,                0.77406,                0.52634,                 0.3424,                 7.8915,                0.40183,             0.00089141,             0.00089141,             0.00089141
                     21,                  1.226,                 1.0575,                 1.4277,                0.86007,                0.63653,                0.77786,                0.52821,                0.31463,                 17.977,                0.38341,             0.00086312,             0.00086312,             0.00086312
                     22,                 1.2131,                 1.0345,                 1.4192,                0.80028,                0.66284,                0.73326,                0.51395,                0.31529,                 7.8375,                0.39188,             0.00083482,             0.00083482,             0.00083482
                     23,                 1.2085,                 1.0135,                 1.4084,                0.83515,                0.67761,                0.76614,                0.52767,                0.31847,                 9.2899,                0.39047,             0.00080653,             0.00080653,             0.00080653
                     24,                   1.18,                0.98655,                 1.3931,                0.80655,                0.64474,                0.76687,                0.54969,                0.30996,                 7.3858,                0.38157,             0.00077823,             0.00077823,             0.00077823
                     25,                 1.1743,                0.97551,                 1.3853,                0.75061,                0.73001,                0.79435,                0.56276,                0.30387,                 10.624,                0.38278,             0.00074994,             0.00074994,             0.00074994
                     26,                 1.1618,                0.96095,                 1.3806,                0.84858,                0.68472,                0.78465,                  0.558,                  0.306,                 5.3074,                0.38108,             0.00072164,             0.00072164,             0.00072164
                     27,                 1.1495,                0.94743,                 1.3695,                0.71335,                0.76734,                0.80407,                0.56827,                0.30606,                 3.8929,                0.37897,             0.00069335,             0.00069335,             0.00069335
                     28,                 1.1295,                0.91357,                 1.3532,                0.77864,                 0.7652,                0.81633,                0.59315,                0.29277,                 4.4659,                0.37473,             0.00066506,             0.00066506,             0.00066506
                     29,                  1.118,                0.89091,                 1.3412,                0.82809,                0.74481,                0.82976,                0.59405,                0.28944,                 4.0859,                0.37361,             0.00063676,             0.00063676,             0.00063676
                     30,                 1.1014,                0.88477,                 1.3329,                0.83348,                0.76258,                 0.8123,                0.59649,                0.28763,                 5.3093,                0.37147,             0.00060847,             0.00060847,             0.00060847
