Dataset,Model,Precision,Recall,mAP@0.5,mAP@0.5:0.95,Preprocess (ms/img),Inference (ms/img),Postprocess (ms/img),Total (ms/img),FPS
MergedData,YOLOv11mMergedData960,0.823,0.824,0.858,0.759,0.44,19.79,0.57,20.8,48.1
MergedData,YOLOv8mMerged,0.851,0.833,0.861,0.758,0.4,19.56,0.56,20.52,48.7
MergedData,YOLOv8sMerged,0.845,0.819,0.857,0.719,0.4,8.38,0.86,9.63,103.8
MergedData,YOLOv11sMergedData960,0.81,0.813,0.845,0.707,0.45,10.06,0.78,11.29,88.6
MergedData,YOLOv11nMergedData960,0.807,0.809,0.817,0.673,0.49,4.56,0.73,5.78,172.9
MergedData,YOLOv8nMerged8Batch,0.845,0.788,0.841,0.671,0.37,4.16,0.9,5.44,183.7
MergedData,YOLOv8nMerged,0.783,0.742,0.785,0.595,0.41,3.94,1.03,5.39,185.6
MergedData,YOLOv11sNickData960,0.393,0.293,0.233,0.124,0.46,8.39,0.95,9.81,102.0
MergedData,YOLOv11mNickData960,0.381,0.304,0.232,0.12,0.43,19.37,0.7,20.5,48.8
MergedData,YOLOv8mNick,0.371,0.312,0.23,0.115,0.16,8.86,0.57,9.6,104.2
MergedData,YOLOv11nNickData960,0.389,0.282,0.222,0.111,0.43,3.8,0.68,4.91,203.6
MergedData,YOLOv8sNick,0.378,0.301,0.21,0.102,0.36,8.57,0.8,9.73,102.8
MergedData,YOLOv8nNick,0.382,0.313,0.225,0.102,0.47,3.92,1.1,5.49,182.1
REU_Oyster_2024_Improved-2,YOLOv11sNickData960,0.911,0.839,0.899,0.705,0.54,10.58,0.47,11.59,86.3
REU_Oyster_2024_Improved-2,YOLOv11mNickData960,0.917,0.841,0.929,0.703,0.51,19.82,0.36,20.68,48.3
REU_Oyster_2024_Improved-2,YOLOv8mNick,0.874,0.844,0.9,0.681,0.42,9.05,0.52,9.98,100.2
REU_Oyster_2024_Improved-2,YOLOv11nNickData960,0.891,0.828,0.904,0.67,0.55,4.27,0.88,5.69,175.7
REU_Oyster_2024_Improved-2,YOLOv8sNick,0.86,0.862,0.9,0.659,0.34,8.67,0.75,9.76,102.5
REU_Oyster_2024_Improved-2,YOLOv8nNick,0.898,0.781,0.894,0.643,0.4,4.12,1.48,6.0,166.6
REU_Oyster_2024_Improved-2,YOLOv11sMergedData960,0.915,0.805,0.902,0.538,0.48,8.67,0.5,9.65,103.6
REU_Oyster_2024_Improved-2,YOLOv11mMergedData960,0.881,0.819,0.869,0.517,0.36,20.63,0.96,21.95,45.6
REU_Oyster_2024_Improved-2,YOLOv8sMerged,0.855,0.88,0.899,0.513,0.41,8.95,0.93,10.29,97.2
REU_Oyster_2024_Improved-2,YOLOv8mMerged,0.84,0.868,0.855,0.511,0.25,19.79,0.37,20.41,49.0
REU_Oyster_2024_Improved-2,YOLOv11nMergedData960,0.846,0.842,0.879,0.506,0.32,4.41,1.28,6.01,166.3
REU_Oyster_2024_Improved-2,YOLOv8nMerged8Batch,0.872,0.802,0.871,0.485,1.01,3.97,1.52,6.5,153.8
REU_Oyster_2024_Improved-2,YOLOv8nMerged,0.785,0.822,0.857,0.482,0.52,4.14,1.43,6.09,164.2
