Model,PC1_score,mAP@0.5:0.95,mAP@0.5,Precision,Recall
YOLOv8sMerged,0.2788,0.6165,0.8780,0.8500,0.8495
YOLOv8mMerged,0.2735,0.6345,0.8580,0.8455,0.8505
YOLOv11sMergedData960,0.2667,0.6225,0.8740,0.8645,0.8145
YOLOv11mMergedData960,0.2657,0.6380,0.8635,0.8520,0.8215
YOLOv11nMergedData960,0.2261,0.5895,0.8475,0.8260,0.8255
YOLOv8nMerged,0.1478,0.5385,0.8215,0.7840,0.7820
YOLOv11mNickData960,-0.2181,0.4120,0.5805,0.6490,0.5725
YOLOv11sNickData960,-0.2279,0.4145,0.5660,0.6520,0.5660
YOLOv8mNick,-0.2414,0.3980,0.5650,0.6230,0.5780
YOLOv11nNickData960,-0.2512,0.3900,0.5630,0.6400,0.5550
YOLOv8sNick,-0.2545,0.3805,0.5550,0.6200,0.5815
YOLOv8nNick,-0.2654,0.3730,0.5595,0.6385,0.5475
