Dataset,Model,Precision,Recall,mAP@0.5,mAP@0.5:0.95,Preprocess (ms/img),Inference (ms/img),Postprocess (ms/img),Total (ms/img),FPS
MergedData,YOLOv11mMergedData960,0.823,0.824,0.858,0.759,0.5,19.03,0.49,20.02,50
MergedData,YOLOv8mMerged,0.851,0.833,0.861,0.758,0.47,18.82,0.48,19.77,50.6
MergedData,YOLOv8sMerged,0.845,0.819,0.857,0.719,0.48,8.16,0.54,9.17,109
MergedData,YOLOv11sMergedData960,0.81,0.813,0.845,0.707,0.51,8.28,0.51,9.3,107.6
MergedData,YOLOv11nMergedData960,0.807,0.809,0.817,0.673,0.58,4.25,0.59,5.42,184.5
MergedData,YOLOv8nMerged,0.783,0.742,0.785,0.595,0.47,4.14,0.66,5.27,189.9
MergedData,YOLOv11sNickData960,0.393,0.293,0.233,0.124,0.43,8.36,0.67,9.46,105.7
MergedData,YOLOv11mNickData960,0.381,0.304,0.232,0.12,0.48,18.9,0.47,19.84,50.4
MergedData,YOLOv8mNick,0.371,0.312,0.23,0.115,0.25,8.49,0.5,9.24,108.2
MergedData,YOLOv11nNickData960,0.389,0.282,0.222,0.111,0.61,4,0.77,5.38,185.9
MergedData,YOLOv8sNick,0.378,0.301,0.21,0.102,0.41,8,0.64,9.05,110.6
MergedData,YOLOv8nNick,0.382,0.313,0.225,0.102,0.44,3.75,1.02,5.21,192
,,,,,,,,,,
REU_Oyster_2024_Improved-2,YOLOv11sNickData960,0.911,0.839,0.899,0.705,0.57,8.39,0.51,9.47,105.6
REU_Oyster_2024_Improved-2,YOLOv11mNickData960,0.917,0.841,0.929,0.703,0.6,19.13,0.31,20.05,49.9
REU_Oyster_2024_Improved-2,YOLOv8mNick,0.874,0.844,0.9,0.681,0.17,8.55,0.49,9.2,108.6
REU_Oyster_2024_Improved-2,YOLOv11nNickData960,0.891,0.828,0.904,0.67,0.91,4.26,0.76,5.92,168.9
REU_Oyster_2024_Improved-2,YOLOv8sNick,0.86,0.862,0.9,0.659,0.43,8.47,0.63,9.52,105
REU_Oyster_2024_Improved-2,YOLOv8nNick,0.898,0.781,0.894,0.643,0.93,4.23,1.5,6.66,150.1
REU_Oyster_2024_Improved-2,YOLOv11sMergedData960,0.915,0.805,0.902,0.538,0.56,8.62,0.52,9.7,103.1
REU_Oyster_2024_Improved-2,YOLOv11mMergedData960,0.881,0.819,0.869,0.517,0.47,19.58,1,21.06,47.5
REU_Oyster_2024_Improved-2,YOLOv8sMerged,0.855,0.88,0.899,0.513,0.44,8.54,0.75,9.73,102.7
REU_Oyster_2024_Improved-2,YOLOv8mMerged,0.84,0.868,0.855,0.511,0.6,18.9,0.35,19.84,50.4
REU_Oyster_2024_Improved-2,YOLOv11nMergedData960,0.846,0.842,0.879,0.506,0.98,4.24,1.34,6.56,152.5
REU_Oyster_2024_Improved-2,YOLOv8nMerged,0.785,0.822,0.857,0.482,0.87,4.15,1.32,6.34,157.6
