epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,257.099,1.45977,2.18034,1.77105,0.33816,0.36266,0.29108,0.16594,0.85547,5.48583,0.9974,0.00333217,0.00333217,0.00333217
2,508.383,1.41565,1.86422,1.71399,0.36898,0.341,0.26748,0.15443,0.87733,6.81564,1.05601,0.00665891,0.00665891,0.00665891
3,752.18,1.47348,1.9569,1.77873,0.35062,0.38731,0.27497,0.15439,0.87474,11.0673,1.03356,0.00997904,0.00997904,0.00997904
4,994.339,1.48245,1.98724,1.80229,0.33388,0.32048,0.26504,0.14806,0.86821,10.0161,1.02691,0.0099703,0.0099703,0.0099703
5,1235.66,1.43609,1.89354,1.76267,0.39013,0.42936,0.35523,0.21404,0.8097,6.58241,0.99244,0.0099604,0.0099604,0.0099604
6,1478.91,1.39546,1.80227,1.73361,0.36427,0.43431,0.34239,0.20642,0.80647,4.64714,0.98583,0.0099505,0.0099505,0.0099505
7,1720.25,1.35057,1.71739,1.69657,0.4192,0.44484,0.40459,0.2423,0.78436,5.53724,0.96141,0.0099406,0.0099406,0.0099406
8,1963.05,1.32214,1.6605,1.66788,0.46424,0.47571,0.45068,0.2759,0.75812,4.53008,0.95639,0.0099307,0.0099307,0.0099307
9,2206.31,1.29536,1.61184,1.64684,0.49699,0.45171,0.45595,0.28556,0.74764,3.74608,0.9379,0.0099208,0.0099208,0.0099208
10,2448.93,1.2773,1.56733,1.6268,0.50049,0.4683,0.47107,0.30362,0.74348,2.63112,0.92777,0.0099109,0.0099109,0.0099109
11,2694.17,1.25303,1.52818,1.60948,0.50749,0.466,0.48402,0.30906,0.72683,2.62208,0.92371,0.009901,0.009901,0.009901
12,2938.2,1.23527,1.4873,1.58823,0.53982,0.50652,0.50717,0.32975,0.70052,3.83745,0.89526,0.0098911,0.0098911,0.0098911
13,3181.04,1.21818,1.46827,1.57951,0.55499,0.52375,0.55134,0.36379,0.69942,2.44855,0.89456,0.0098812,0.0098812,0.0098812
14,3425.53,1.20133,1.43042,1.55983,0.54486,0.5336,0.53541,0.35751,0.68529,2.68851,0.89145,0.0098713,0.0098713,0.0098713
15,3667.9,1.17961,1.39208,1.54827,0.57066,0.53138,0.54132,0.36328,0.68669,1.95249,0.8837,0.0098614,0.0098614,0.0098614
16,3913.5,1.16779,1.36908,1.53286,0.57085,0.5462,0.5663,0.37829,0.67805,2.11489,0.86164,0.0098515,0.0098515,0.0098515
17,4155.95,1.15413,1.34302,1.51871,0.60623,0.56902,0.5759,0.3907,0.66999,1.70278,0.86736,0.0098416,0.0098416,0.0098416
18,4399.17,1.13797,1.32224,1.50305,0.60146,0.57884,0.58408,0.39799,0.66097,2.3248,0.85232,0.0098317,0.0098317,0.0098317
19,4642,1.13079,1.31031,1.49605,0.59712,0.60404,0.60275,0.41845,0.65164,1.54429,0.84384,0.0098218,0.0098218,0.0098218
20,4885.04,1.12072,1.28425,1.48,0.62174,0.59822,0.59788,0.4156,0.64235,2.16282,0.84196,0.0098119,0.0098119,0.0098119
21,5127.37,1.10696,1.26586,1.47693,0.65955,0.58732,0.62575,0.43343,0.63212,1.63149,0.83221,0.009802,0.009802,0.009802
22,5370.28,1.08821,1.24164,1.4584,0.59982,0.63818,0.61879,0.4255,0.64512,1.63236,0.83276,0.0097921,0.0097921,0.0097921
23,5611.97,1.08887,1.231,1.46,0.6401,0.61607,0.63967,0.45033,0.6273,1.70945,0.82383,0.0097822,0.0097822,0.0097822
24,5856.01,1.07139,1.20986,1.44364,0.64573,0.64045,0.6501,0.45957,0.6196,1.25722,0.81334,0.0097723,0.0097723,0.0097723
25,6099.96,1.05925,1.18807,1.435,0.65727,0.63354,0.65205,0.45648,0.61528,1.40408,0.81557,0.0097624,0.0097624,0.0097624
26,6346.33,1.05489,1.1775,1.42793,0.68357,0.64149,0.67392,0.47522,0.60711,2.08654,0.80456,0.0097525,0.0097525,0.0097525
27,6589.61,1.04296,1.16357,1.42083,0.67606,0.63421,0.66534,0.47392,0.60756,1.30047,0.80425,0.0097426,0.0097426,0.0097426
28,6831.32,1.03786,1.15363,1.41036,0.66882,0.64808,0.66967,0.47528,0.60891,1.54241,0.80511,0.0097327,0.0097327,0.0097327
29,7072.98,1.03104,1.14698,1.41057,0.66892,0.66336,0.67647,0.47986,0.59238,1.28824,0.79192,0.0097228,0.0097228,0.0097228
30,7315.55,1.02654,1.13941,1.40377,0.69279,0.65137,0.68423,0.49539,0.58619,1.02932,0.78385,0.0097129,0.0097129,0.0097129
31,7558.23,1.01082,1.12065,1.38846,0.68423,0.664,0.6925,0.49548,0.58454,1.13682,0.78637,0.009703,0.009703,0.009703
32,7800.78,1.00646,1.11161,1.39048,0.66608,0.67543,0.6827,0.49298,0.57978,1.1035,0.78601,0.0096931,0.0096931,0.0096931
33,8042.35,1.00189,1.09544,1.38658,0.69817,0.67396,0.69635,0.50497,0.56968,1.09744,0.77063,0.0096832,0.0096832,0.0096832
34,8285.61,0.98829,1.0824,1.37606,0.68824,0.67011,0.69594,0.50493,0.56687,1.23431,0.76258,0.0096733,0.0096733,0.0096733
35,8526.74,0.98286,1.07168,1.36566,0.71809,0.65386,0.70329,0.51174,0.55718,0.99341,0.75995,0.0096634,0.0096634,0.0096634
36,8770.48,0.97234,1.05961,1.36209,0.71255,0.68349,0.70712,0.51569,0.55254,1.00023,0.75728,0.0096535,0.0096535,0.0096535
37,9013.08,0.97262,1.05271,1.35562,0.71402,0.69523,0.71941,0.52542,0.54545,1.0077,0.74561,0.0096436,0.0096436,0.0096436
38,9256.66,0.96605,1.04784,1.34526,0.7086,0.68849,0.72503,0.5357,0.54335,1.05413,0.74216,0.0096337,0.0096337,0.0096337
39,9501.18,0.95612,1.03463,1.34404,0.71039,0.69432,0.72344,0.53467,0.54157,0.84291,0.74603,0.0096238,0.0096238,0.0096238
40,9742.68,0.95537,1.02027,1.3449,0.72508,0.69966,0.73385,0.54298,0.53801,0.87982,0.74556,0.0096139,0.0096139,0.0096139
41,9985.89,0.9478,1.01094,1.33663,0.70729,0.71766,0.73148,0.54202,0.5366,0.75294,0.74297,0.009604,0.009604,0.009604
42,10227.7,0.93696,1.01121,1.32914,0.70637,0.71361,0.72686,0.53863,0.5309,0.85519,0.73742,0.0095941,0.0095941,0.0095941
43,10469.4,0.93542,1.00429,1.32787,0.71245,0.72983,0.74044,0.55281,0.52051,0.81726,0.72445,0.0095842,0.0095842,0.0095842
44,10711.7,0.92305,0.98144,1.30981,0.72055,0.73095,0.74109,0.55196,0.51956,0.78289,0.72123,0.0095743,0.0095743,0.0095743
45,10954.1,0.92138,0.98465,1.31131,0.73587,0.71795,0.73475,0.55273,0.51337,0.853,0.71741,0.0095644,0.0095644,0.0095644
46,11195.6,0.91707,0.96896,1.30907,0.72137,0.72325,0.74173,0.55611,0.5113,0.83392,0.71682,0.0095545,0.0095545,0.0095545
47,11437.9,0.90711,0.96059,1.29413,0.7151,0.73939,0.74672,0.55949,0.50894,0.90144,0.71137,0.0095446,0.0095446,0.0095446
48,11681.1,0.91317,0.95717,1.29992,0.73759,0.73659,0.75171,0.56604,0.50438,0.77221,0.70815,0.0095347,0.0095347,0.0095347
49,11924.5,0.9061,0.95788,1.30168,0.7333,0.74671,0.75559,0.5666,0.50752,0.70541,0.71592,0.0095248,0.0095248,0.0095248
50,12167.2,0.89691,0.94269,1.28854,0.74325,0.74842,0.76254,0.57974,0.502,0.70996,0.70828,0.0095149,0.0095149,0.0095149
51,12409.9,0.89147,0.93131,1.29208,0.74593,0.74453,0.76504,0.58406,0.49054,0.67766,0.70206,0.009505,0.009505,0.009505
52,12652.5,0.88449,0.926,1.28296,0.75415,0.74146,0.76412,0.58297,0.48811,0.61697,0.70048,0.0094951,0.0094951,0.0094951
53,12893.7,0.8862,0.92447,1.28379,0.75229,0.73604,0.76683,0.58753,0.48461,0.59283,0.6977,0.0094852,0.0094852,0.0094852
54,13136.7,0.88119,0.91311,1.27825,0.76148,0.7248,0.76445,0.58624,0.48715,0.59254,0.70005,0.0094753,0.0094753,0.0094753
55,13378.1,0.8793,0.91192,1.28021,0.76338,0.72717,0.76899,0.59063,0.4814,0.54857,0.69316,0.0094654,0.0094654,0.0094654
56,13621.2,0.87495,0.91203,1.27452,0.76446,0.73565,0.7721,0.59611,0.4772,0.53886,0.68989,0.0094555,0.0094555,0.0094555
57,13864.1,0.86926,0.90176,1.26653,0.74498,0.75758,0.77911,0.60123,0.47322,0.55765,0.68761,0.0094456,0.0094456,0.0094456
58,14107.2,0.86251,0.88631,1.26154,0.75829,0.74542,0.78336,0.60867,0.46831,0.57642,0.68322,0.0094357,0.0094357,0.0094357
59,14350.1,0.86646,0.88446,1.2604,0.74526,0.76148,0.78421,0.60997,0.46852,0.58348,0.68176,0.0094258,0.0094258,0.0094258
60,14593.1,0.8567,0.873,1.26157,0.76242,0.75436,0.78551,0.61202,0.46794,0.60883,0.6798,0.0094159,0.0094159,0.0094159
61,14835.3,0.85342,0.8663,1.25501,0.78167,0.74331,0.79148,0.61492,0.4672,0.607,0.67857,0.009406,0.009406,0.009406
62,15078.8,0.84384,0.85877,1.25049,0.77296,0.75388,0.79308,0.61733,0.46568,0.61724,0.67789,0.0093961,0.0093961,0.0093961
63,15322.1,0.84652,0.85249,1.24854,0.77026,0.76128,0.79555,0.61974,0.46142,0.57885,0.67492,0.0093862,0.0093862,0.0093862
64,15565.3,0.83698,0.84747,1.2473,0.78479,0.75479,0.79619,0.61809,0.45689,0.57737,0.6709,0.0093763,0.0093763,0.0093763
65,15807.1,0.83645,0.84378,1.23737,0.78276,0.76063,0.79937,0.62056,0.45435,0.53755,0.66911,0.0093664,0.0093664,0.0093664
66,16050.6,0.8294,0.83912,1.23693,0.77616,0.76516,0.8005,0.62445,0.45146,0.51108,0.66795,0.0093565,0.0093565,0.0093565
67,16293.1,0.82967,0.82639,1.23553,0.78634,0.76007,0.80414,0.63023,0.44937,0.52373,0.66662,0.0093466,0.0093466,0.0093466
68,16535.7,0.82846,0.82334,1.236,0.78745,0.7678,0.80486,0.63322,0.44802,0.54704,0.66589,0.0093367,0.0093367,0.0093367
69,16779.1,0.82479,0.81828,1.23258,0.77296,0.77637,0.80567,0.63604,0.44519,0.55125,0.66343,0.0093268,0.0093268,0.0093268
70,17021.4,0.82007,0.81856,1.2308,0.77358,0.78396,0.80832,0.63922,0.44424,0.55318,0.66271,0.0093169,0.0093169,0.0093169
71,17264.6,0.8267,0.81722,1.2347,0.77844,0.78811,0.81227,0.6422,0.44338,0.56212,0.663,0.009307,0.009307,0.009307
72,17507.3,0.81874,0.80933,1.22766,0.784,0.78648,0.81416,0.64535,0.44136,0.57469,0.66175,0.0092971,0.0092971,0.0092971
73,17750.5,0.81548,0.80984,1.22649,0.78446,0.78653,0.81486,0.64694,0.43937,0.57217,0.66073,0.0092872,0.0092872,0.0092872
74,17994.1,0.80958,0.8062,1.21934,0.79101,0.78848,0.81684,0.6488,0.4372,0.5671,0.65966,0.0092773,0.0092773,0.0092773
75,18237,0.80098,0.78776,1.21692,0.78976,0.78767,0.81865,0.65132,0.43611,0.55295,0.65983,0.0092674,0.0092674,0.0092674
76,18480,0.80346,0.78885,1.21669,0.78599,0.78926,0.81889,0.65143,0.43525,0.52505,0.65996,0.0092575,0.0092575,0.0092575
77,18722.7,0.80219,0.78901,1.21176,0.78352,0.79428,0.81967,0.65283,0.43511,0.51282,0.65993,0.0092476,0.0092476,0.0092476
78,18966.6,0.79817,0.79338,1.21316,0.79238,0.79078,0.82307,0.65481,0.43476,0.5006,0.65968,0.0092377,0.0092377,0.0092377
79,19208.9,0.79862,0.78458,1.21104,0.79163,0.7926,0.82429,0.65587,0.43244,0.49086,0.65816,0.0092278,0.0092278,0.0092278
80,19451.8,0.79546,0.78182,1.21218,0.79396,0.78605,0.82603,0.65716,0.43151,0.47751,0.65782,0.0092179,0.0092179,0.0092179
81,19694.3,0.79095,0.77664,1.20826,0.79647,0.78522,0.82707,0.65784,0.43039,0.4705,0.65705,0.009208,0.009208,0.009208
82,19936.7,0.78618,0.76949,1.20435,0.79147,0.78496,0.82743,0.65919,0.42975,0.46459,0.65677,0.0091981,0.0091981,0.0091981
83,20178.9,0.7826,0.76706,1.20135,0.78917,0.78901,0.82777,0.66087,0.42863,0.46264,0.65656,0.0091882,0.0091882,0.0091882
84,20421.1,0.78469,0.7686,1.20209,0.78899,0.79136,0.82905,0.66208,0.42789,0.46102,0.6561,0.0091783,0.0091783,0.0091783
85,20664.2,0.77315,0.75415,1.19504,0.78791,0.787,0.82957,0.66248,0.42729,0.4575,0.65604,0.0091684,0.0091684,0.0091684
86,20908.6,0.77654,0.74911,1.19169,0.79085,0.7888,0.82998,0.66369,0.42615,0.45425,0.65515,0.0091585,0.0091585,0.0091585
87,21151,0.77673,0.74696,1.19279,0.79003,0.79665,0.83189,0.66543,0.42614,0.45327,0.65537,0.0091486,0.0091486,0.0091486
88,21393.1,0.77815,0.75113,1.19673,0.78814,0.79502,0.83115,0.66595,0.42591,0.45393,0.65533,0.0091387,0.0091387,0.0091387
89,21635.6,0.77269,0.74481,1.18778,0.7908,0.79641,0.83275,0.66644,0.42543,0.45552,0.65495,0.0091288,0.0091288,0.0091288
90,21878,0.77012,0.73936,1.18823,0.79035,0.79892,0.83303,0.66725,0.42476,0.45436,0.65434,0.0091189,0.0091189,0.0091189
91,22120.2,0.76244,0.73478,1.18136,0.78869,0.80122,0.83439,0.66847,0.42417,0.45366,0.65384,0.009109,0.009109,0.009109
92,22362.1,0.767,0.73892,1.18567,0.78728,0.80181,0.83539,0.66935,0.4242,0.451,0.65405,0.0090991,0.0090991,0.0090991
93,22604.9,0.7618,0.73475,1.17968,0.78894,0.80373,0.83621,0.67067,0.42419,0.44835,0.65421,0.0090892,0.0090892,0.0090892
94,22847.4,0.76291,0.73012,1.1792,0.79952,0.79038,0.83685,0.6709,0.42378,0.44585,0.65387,0.0090793,0.0090793,0.0090793
95,23089.8,0.75981,0.72855,1.17971,0.79873,0.79237,0.8375,0.6724,0.42324,0.44287,0.65346,0.0090694,0.0090694,0.0090694
96,23331.9,0.75297,0.72937,1.17738,0.80059,0.79538,0.8383,0.67331,0.42318,0.44106,0.65376,0.0090595,0.0090595,0.0090595
