epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.713,1.74259,2.43488,2.06093,0.35146,0.30718,0.26719,0.1493,0.25274,12.4979,0.27593,0.00333162,0.00333162,0.00333162
2,345.437,1.68262,2.01244,1.99745,0.40083,0.37345,0.34498,0.18424,0.2572,4.67749,0.29446,0.00665836,0.00665836,0.00665836
3,514.509,1.72814,2.138,2.05554,0.30197,0.20231,0.21519,0.11506,0.28183,8.9212,0.30894,0.00997849,0.00997849,0.00997849
4,680.537,1.74829,2.20047,2.08263,0.28794,0.24278,0.22695,0.11497,0.26113,18.8256,0.2957,0.0099703,0.0099703,0.0099703
5,844.798,1.68867,2.07345,2.03451,0.31544,0.41509,0.23941,0.13107,0.27566,10.592,0.30386,0.0099604,0.0099604,0.0099604
6,1009.54,1.64994,2.00279,1.99939,0.53502,0.34344,0.33637,0.19294,0.24981,7.83226,0.28969,0.0099505,0.0099505,0.0099505
7,1174.89,1.61065,1.90855,1.97786,0.71288,0.30074,0.34242,0.19537,0.24227,7.52649,0.28154,0.0099406,0.0099406,0.0099406
8,1341.41,1.58399,1.8611,1.96126,0.57587,0.40381,0.44592,0.25918,0.2392,10.1478,0.28197,0.0099307,0.0099307,0.0099307
9,1507.14,1.56591,1.81848,1.9404,0.55631,0.40503,0.41329,0.24189,0.24242,15.3408,0.27978,0.0099208,0.0099208,0.0099208
10,1671.3,1.54521,1.76239,1.92684,0.52775,0.43213,0.4611,0.28455,0.23608,5.70834,0.27627,0.0099109,0.0099109,0.0099109
11,1837.38,1.51803,1.69986,1.89355,0.47464,0.53307,0.51235,0.30563,0.23704,7.97098,0.27652,0.009901,0.009901,0.009901
12,2002.4,1.50192,1.67178,1.886,0.59328,0.49411,0.52359,0.31675,0.22268,4.67583,0.2644,0.0098911,0.0098911,0.0098911
13,2167.79,1.47974,1.62562,1.86561,0.74308,0.49783,0.5984,0.37117,0.22318,2.29145,0.2675,0.0098812,0.0098812,0.0098812
14,2333.08,1.4677,1.59891,1.86125,0.6613,0.4675,0.54061,0.35513,0.24102,4.13894,0.27583,0.0098713,0.0098713,0.0098713
15,2497.04,1.46008,1.57968,1.84981,0.6319,0.52525,0.57521,0.34535,0.2252,5.67686,0.26407,0.0098614,0.0098614,0.0098614
