epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.7454,1.4778,2.66626,1.69178,0.26974,0.33479,0.21356,0.11941,1.1606,58.98,1.2828,0.00332869,0.00332869,0.00332869
2,149.701,1.40274,2.12633,1.60312,0.40563,0.30217,0.21417,0.10985,1.26429,15.3297,1.39793,0.00665543,0.00665543,0.00665543
3,222.403,1.44204,2.01806,1.63723,0.2677,0.25817,0.1857,0.09891,1.26819,6.76399,1.42163,0.00997557,0.00997557,0.00997557
4,295.002,1.45459,1.94689,1.65883,0.33973,0.35252,0.26299,0.14298,1.17261,13.3781,1.31246,0.0099703,0.0099703,0.0099703
5,381.719,1.41691,1.84459,1.62982,0.33605,0.38577,0.30454,0.17235,1.13839,16.7753,1.27102,0.0099604,0.0099604,0.0099604
6,458.318,1.38153,1.76133,1.60301,0.40644,0.42309,0.359,0.21152,1.12411,6.89254,1.26184,0.0099505,0.0099505,0.0099505
7,537.028,1.35237,1.68644,1.57867,0.45758,0.40153,0.39545,0.24182,1.07362,13.6423,1.22015,0.0099406,0.0099406,0.0099406
8,619.941,1.33395,1.63354,1.56286,0.45145,0.45464,0.40526,0.24682,1.05319,12.1965,1.20167,0.0099307,0.0099307,0.0099307
9,703.707,1.31303,1.59401,1.5448,0.44661,0.46984,0.43648,0.26882,1.04254,10.9953,1.19181,0.0099208,0.0099208,0.0099208
10,782.33,1.29197,1.54237,1.52558,0.44992,0.50709,0.43465,0.27361,1.03451,7.33825,1.19718,0.0099109,0.0099109,0.0099109
11,861.5,1.27768,1.51435,1.51786,0.52024,0.4584,0.46579,0.28767,1.01838,4.52962,1.18056,0.009901,0.009901,0.009901
12,940.659,1.25958,1.47931,1.50095,0.5123,0.47371,0.45881,0.28943,1.00837,5.69256,1.16505,0.0098911,0.0098911,0.0098911
13,1018.95,1.25264,1.45033,1.49738,0.52344,0.49394,0.50286,0.32775,1.0019,3.62965,1.16902,0.0098812,0.0098812,0.0098812
14,1098.41,1.23794,1.43897,1.48475,0.50586,0.52094,0.49118,0.3148,0.97551,16.3807,1.14872,0.0098713,0.0098713,0.0098713
15,1177.28,1.22904,1.40912,1.47028,0.53532,0.51692,0.49282,0.31855,0.97728,5.6097,1.14836,0.0098614,0.0098614,0.0098614
16,1256.19,1.21523,1.37876,1.46099,0.54031,0.52285,0.523,0.33207,0.9679,7.39847,1.13668,0.0098515,0.0098515,0.0098515
17,1335.33,1.20398,1.34866,1.4478,0.58506,0.53682,0.55187,0.35272,0.9707,4.40149,1.11919,0.0098416,0.0098416,0.0098416
18,1414.72,1.19162,1.33886,1.43692,0.55758,0.55238,0.54563,0.34923,0.92682,3.25735,1.07527,0.0098317,0.0098317,0.0098317
19,1493.08,1.18396,1.32016,1.42984,0.59053,0.52369,0.54351,0.3566,0.93102,7.11768,1.09864,0.0098218,0.0098218,0.0098218
20,1571.09,1.1813,1.30842,1.42519,0.61542,0.52503,0.54801,0.36016,0.95729,9.44947,1.1116,0.0098119,0.0098119,0.0098119
21,1643.72,1.16942,1.2885,1.41679,0.61024,0.5581,0.56473,0.36882,0.92381,7.75344,1.10283,0.009802,0.009802,0.009802
22,1716.14,1.16176,1.27232,1.41097,0.59465,0.55046,0.57455,0.38529,0.90859,3.84079,1.08096,0.0097921,0.0097921,0.0097921
23,1788.56,1.1534,1.25085,1.40699,0.62432,0.58505,0.59222,0.39458,0.90562,4.89254,1.06991,0.0097822,0.0097822,0.0097822
24,1861.02,1.15442,1.25522,1.39924,0.59166,0.56079,0.57509,0.39006,0.89791,7.42682,1.05782,0.0097723,0.0097723,0.0097723
25,1933.39,1.13895,1.2299,1.39086,0.61698,0.55217,0.58472,0.39482,0.90075,5.49915,1.0718,0.0097624,0.0097624,0.0097624
26,2005.63,1.13247,1.22676,1.38334,0.63064,0.57781,0.60284,0.41244,0.882,4.05177,1.04749,0.0097525,0.0097525,0.0097525
27,2078.25,1.12905,1.21411,1.38438,0.62554,0.59846,0.61291,0.42047,0.88695,2.82629,1.05495,0.0097426,0.0097426,0.0097426
28,2151,1.12411,1.2013,1.37637,0.64425,0.58113,0.62611,0.43174,0.88211,3.16227,1.06948,0.0097327,0.0097327,0.0097327
29,2223.56,1.11641,1.1886,1.37219,0.66768,0.57257,0.62023,0.42343,0.86915,2.12242,1.03412,0.0097228,0.0097228,0.0097228
30,2295.65,1.11175,1.18072,1.36651,0.68212,0.58335,0.6344,0.43841,0.86793,2.07286,1.03056,0.0097129,0.0097129,0.0097129
31,2368.25,1.10669,1.17241,1.3664,0.64072,0.5945,0.62748,0.43137,0.86358,3.84541,1.04358,0.009703,0.009703,0.009703
32,2440.41,1.10793,1.16649,1.36603,0.61366,0.59171,0.61925,0.42541,0.87186,2.40096,1.04337,0.0096931,0.0096931,0.0096931
33,2512.58,1.09447,1.14597,1.35518,0.63832,0.61316,0.63888,0.44857,0.85489,2.21979,1.02939,0.0096832,0.0096832,0.0096832
34,2585.04,1.09718,1.15466,1.35487,0.65219,0.60455,0.64511,0.45279,0.85088,2.32856,1.02285,0.0096733,0.0096733,0.0096733
35,2657.5,1.08769,1.13284,1.34538,0.64001,0.61488,0.63645,0.44762,0.84626,2.15619,1.02509,0.0096634,0.0096634,0.0096634
36,2729.79,1.08202,1.13204,1.34387,0.67085,0.61155,0.64937,0.45459,0.81527,2.47598,0.98836,0.0096535,0.0096535,0.0096535
37,2802.37,1.07945,1.10847,1.3388,0.69718,0.60333,0.66546,0.4742,0.81466,2.28393,0.99487,0.0096436,0.0096436,0.0096436
38,2875,1.08033,1.11912,1.34105,0.6377,0.62873,0.64772,0.45452,0.82995,3.35563,1.00377,0.0096337,0.0096337,0.0096337
39,2947.47,1.07749,1.10321,1.33586,0.67852,0.63676,0.66537,0.4703,0.82555,2.04102,0.9958,0.0096238,0.0096238,0.0096238
40,3019.97,1.07106,1.09614,1.33005,0.69404,0.62712,0.68138,0.48163,0.82076,2.00275,0.99652,0.0096139,0.0096139,0.0096139
41,3092.28,1.05906,1.08049,1.32542,0.6719,0.64108,0.67248,0.47537,0.82984,2.16087,1.00385,0.009604,0.009604,0.009604
42,3164.73,1.06451,1.08418,1.32195,0.69688,0.6481,0.6836,0.48761,0.80824,2.04958,0.98963,0.0095941,0.0095941,0.0095941
43,3237.52,1.06257,1.08185,1.3247,0.64943,0.67144,0.67564,0.47849,0.81242,2.50755,0.98723,0.0095842,0.0095842,0.0095842
44,3309.89,1.05622,1.06755,1.31802,0.66987,0.66832,0.69281,0.49362,0.80679,2.08255,0.9799,0.0095743,0.0095743,0.0095743
45,3382.61,1.05115,1.06382,1.31603,0.67764,0.6635,0.69072,0.49334,0.80749,1.60236,0.98429,0.0095644,0.0095644,0.0095644
46,3454.79,1.04892,1.05818,1.31597,0.67726,0.66411,0.68563,0.48663,0.81158,1.96684,0.99407,0.0095545,0.0095545,0.0095545
47,3527.08,1.04768,1.06021,1.3146,0.71499,0.65853,0.69952,0.5013,0.79309,1.56255,0.97859,0.0095446,0.0095446,0.0095446
48,3599.68,1.04173,1.04913,1.30737,0.7155,0.66068,0.69801,0.4991,0.78597,2.04746,0.96845,0.0095347,0.0095347,0.0095347
49,3671.99,1.0389,1.03928,1.30524,0.72126,0.65579,0.7007,0.50472,0.7866,1.80795,0.96252,0.0095248,0.0095248,0.0095248
50,3744.3,1.03427,1.03109,1.29987,0.71648,0.66086,0.70508,0.5092,0.78843,1.92297,0.96711,0.0095149,0.0095149,0.0095149
51,3816.75,1.0362,1.03465,1.30432,0.69456,0.68576,0.70774,0.51167,0.78346,1.67464,0.96084,0.009505,0.009505,0.009505
52,3889.14,1.03416,1.02653,1.29863,0.71452,0.66583,0.70753,0.51002,0.776,1.43641,0.95825,0.0094951,0.0094951,0.0094951
53,3961.68,1.03386,1.02368,1.29884,0.71503,0.67182,0.71393,0.51751,0.77579,1.28701,0.95911,0.0094852,0.0094852,0.0094852
54,4034.1,1.02661,1.02126,1.29829,0.72623,0.66109,0.70998,0.51353,0.7846,1.15889,0.96235,0.0094753,0.0094753,0.0094753
55,4106.64,1.02357,1.01159,1.29287,0.72555,0.67819,0.72236,0.5231,0.77726,1.57381,0.9554,0.0094654,0.0094654,0.0094654
56,4179.28,1.01911,1.00493,1.28793,0.73715,0.66363,0.72288,0.52398,0.76962,1.59651,0.9498,0.0094555,0.0094555,0.0094555
57,4251.72,1.01647,0.99575,1.2836,0.72804,0.67758,0.72393,0.52739,0.7649,1.8205,0.94333,0.0094456,0.0094456,0.0094456
58,4324.33,1.01654,0.99764,1.28319,0.71978,0.68696,0.72284,0.52638,0.75666,1.65226,0.93387,0.0094357,0.0094357,0.0094357
