epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.5157,1.76032,2.83162,1.94164,0.25504,0.17905,0.16858,0.08189,0.49146,159.442,0.42453,0.00332649,0.00332649,0.00332649
2,104.545,1.64843,2.2821,1.83769,0.57681,0.1355,0.14634,0.07598,0.51735,173.959,0.43797,0.00665323,0.00665323,0.00665323
3,153.801,1.66605,2.17589,1.87343,0.18837,0.20517,0.15827,0.06873,0.51731,173.058,0.4873,0.00997337,0.00997337,0.00997337
4,202.668,1.679,2.12305,1.90578,0.29056,0.26341,0.21769,0.12124,0.46811,125.543,0.46181,0.0099703,0.0099703,0.0099703
5,251.817,1.65625,2.02203,1.88891,0.4373,0.22935,0.24614,0.13847,0.45263,62.7457,0.43378,0.0099604,0.0099604,0.0099604
6,301.046,1.61782,1.91743,1.84685,0.37931,0.35221,0.32882,0.18615,0.42527,75.1322,0.40423,0.0099505,0.0099505,0.0099505
7,350.223,1.59402,1.84378,1.83386,0.45887,0.39054,0.38,0.21725,0.43269,14.7097,0.41293,0.0099406,0.0099406,0.0099406
8,399.526,1.57767,1.79874,1.82006,0.49244,0.32228,0.33357,0.19065,0.4452,176.408,0.41673,0.0099307,0.0099307,0.0099307
9,448.343,1.55743,1.72764,1.79895,0.52998,0.4342,0.46054,0.26892,0.45204,18.1599,0.41576,0.0099208,0.0099208,0.0099208
10,497.341,1.53753,1.69944,1.78648,0.69689,0.47584,0.54049,0.32134,0.43176,4.68408,0.42081,0.0099109,0.0099109,0.0099109
11,546.614,1.51686,1.63674,1.76505,0.59649,0.47062,0.53323,0.31764,0.40296,11.3629,0.38912,0.009901,0.009901,0.009901
12,595.42,1.50292,1.6243,1.75954,0.58447,0.47867,0.49888,0.30607,0.42456,21.1434,0.40307,0.0098911,0.0098911,0.0098911
13,644.108,1.47936,1.55985,1.73727,0.72168,0.44733,0.49769,0.29384,0.43185,21.2625,0.41054,0.0098812,0.0098812,0.0098812
14,692.898,1.47417,1.53696,1.72898,0.59203,0.51058,0.5407,0.32333,0.42062,29.8673,0.40575,0.0098713,0.0098713,0.0098713
15,741.831,1.45204,1.5019,1.71693,0.69124,0.50825,0.58231,0.36963,0.39804,17.9904,0.39318,0.0098614,0.0098614,0.0098614
16,790.556,1.44226,1.49464,1.71716,0.68939,0.56702,0.62767,0.37156,0.42424,17.5732,0.39632,0.0098515,0.0098515,0.0098515
17,839.634,1.43304,1.45033,1.69293,0.7621,0.53631,0.64183,0.39658,0.4177,26.6871,0.40765,0.0098416,0.0098416,0.0098416
18,888.75,1.41846,1.42203,1.68292,0.72043,0.55985,0.62697,0.38143,0.39475,5.70832,0.39598,0.0098317,0.0098317,0.0098317
19,937.637,1.42156,1.4142,1.68359,0.73929,0.54861,0.63758,0.40288,0.40836,19.2771,0.39062,0.0098218,0.0098218,0.0098218
20,986.523,1.40516,1.38739,1.67538,0.77177,0.53191,0.65116,0.40396,0.42268,14.7982,0.39608,0.0098119,0.0098119,0.0098119
21,1035.81,1.39872,1.37786,1.65891,0.8107,0.52211,0.64311,0.42453,0.39652,7.21214,0.37911,0.009802,0.009802,0.009802
22,1084.79,1.3829,1.35377,1.65184,0.67562,0.59249,0.67323,0.44042,0.40292,8.623,0.38395,0.0097921,0.0097921,0.0097921
23,1133.81,1.38106,1.33788,1.64937,0.78336,0.54846,0.67311,0.43649,0.42777,2.13297,0.4095,0.0097822,0.0097822,0.0097822
24,1183.14,1.36238,1.30295,1.62953,0.73344,0.60581,0.71205,0.46797,0.39149,21.4554,0.38596,0.0097723,0.0097723,0.0097723
25,1232.02,1.3579,1.29282,1.62488,0.7779,0.60117,0.69923,0.456,0.40054,5.49889,0.38618,0.0097624,0.0097624,0.0097624
26,1280.73,1.35297,1.28678,1.62053,0.82056,0.55579,0.69547,0.43692,0.39776,5.44319,0.38361,0.0097525,0.0097525,0.0097525
27,1329.52,1.34095,1.2739,1.61312,0.8471,0.59172,0.71664,0.46877,0.39766,4.42269,0.38494,0.0097426,0.0097426,0.0097426
28,1378.5,1.33957,1.24794,1.60422,0.71206,0.63919,0.71833,0.46004,0.3987,5.02234,0.38908,0.0097327,0.0097327,0.0097327
29,1427.26,1.32335,1.23627,1.59369,0.7325,0.6272,0.70402,0.4601,0.40051,10.73,0.38939,0.0097228,0.0097228,0.0097228
30,1476,1.3152,1.21455,1.5846,0.79579,0.65234,0.74378,0.49371,0.38524,8.92445,0.38176,0.0097129,0.0097129,0.0097129
31,1524.83,1.30756,1.20261,1.58113,0.90248,0.55098,0.74422,0.50169,0.40633,4.1509,0.38826,0.009703,0.009703,0.009703
32,1573.59,1.30689,1.20286,1.58246,0.75076,0.68944,0.77391,0.53372,0.38285,1.61792,0.37333,0.0096931,0.0096931,0.0096931
33,1622.69,1.30049,1.19138,1.56981,0.8508,0.62689,0.76613,0.50166,0.39953,14.9286,0.38433,0.0096832,0.0096832,0.0096832
34,1671.16,1.29365,1.18206,1.57112,0.86721,0.60258,0.7558,0.51504,0.38715,11.1188,0.37693,0.0096733,0.0096733,0.0096733
35,1719.8,1.29571,1.17168,1.56123,0.8607,0.6363,0.77904,0.53656,0.38826,1.56977,0.37283,0.0096634,0.0096634,0.0096634
36,1768.97,1.2854,1.15424,1.55366,0.80603,0.63478,0.74787,0.50658,0.40206,4.27479,0.38121,0.0096535,0.0096535,0.0096535
37,1817.82,1.28123,1.1494,1.54988,0.85707,0.65972,0.80006,0.55011,0.38331,2.33036,0.37131,0.0096436,0.0096436,0.0096436
38,1866.81,1.27379,1.1349,1.53941,0.89494,0.6116,0.77845,0.54014,0.40469,8.14726,0.38583,0.0096337,0.0096337,0.0096337
39,1915.44,1.26536,1.12858,1.53397,0.84389,0.67235,0.79643,0.54852,0.39155,2.45135,0.37467,0.0096238,0.0096238,0.0096238
40,1964.09,1.25777,1.11471,1.52811,0.80348,0.66409,0.78572,0.54224,0.3918,1.39792,0.37626,0.0096139,0.0096139,0.0096139
41,2012.77,1.24976,1.1035,1.52192,0.79983,0.69475,0.78917,0.54207,0.38049,5.75637,0.37049,0.009604,0.009604,0.009604
42,2061.5,1.25868,1.10782,1.53064,0.79786,0.70457,0.79589,0.55098,0.38872,7.59269,0.37548,0.0095941,0.0095941,0.0095941
43,2110.37,1.2415,1.08321,1.51587,0.80332,0.76116,0.82404,0.57094,0.38099,2.8757,0.37447,0.0095842,0.0095842,0.0095842
44,2159.69,1.24476,1.0878,1.51698,0.77623,0.75428,0.83743,0.58709,0.38185,3.18131,0.36717,0.0095743,0.0095743,0.0095743
45,2208.4,1.23163,1.07732,1.50707,0.87432,0.68418,0.82625,0.57244,0.37652,3.11437,0.36658,0.0095644,0.0095644,0.0095644
46,2257.18,1.2354,1.07387,1.50782,0.78659,0.74935,0.82857,0.57553,0.38624,2.7791,0.3746,0.0095545,0.0095545,0.0095545
47,2305.74,1.22769,1.06258,1.50198,0.87346,0.73451,0.84155,0.59726,0.38458,2.40219,0.37243,0.0095446,0.0095446,0.0095446
48,2354.47,1.21341,1.04538,1.49176,0.77242,0.78701,0.80818,0.57223,0.37654,8.3684,0.36777,0.0095347,0.0095347,0.0095347
49,2403.17,1.21714,1.05042,1.49265,0.7819,0.7481,0.81797,0.58039,0.37578,2.27112,0.36557,0.0095248,0.0095248,0.0095248
50,2451.84,1.21541,1.04416,1.48918,0.76747,0.79254,0.81169,0.57358,0.37286,2.71233,0.36314,0.0095149,0.0095149,0.0095149
51,2500.5,1.2021,1.02379,1.48042,0.85153,0.74149,0.83341,0.57796,0.38681,2.9549,0.37317,0.009505,0.009505,0.009505
52,2549.18,1.20589,1.02657,1.48234,0.80662,0.76152,0.82258,0.56849,0.39254,2.45985,0.37499,0.0094951,0.0094951,0.0094951
53,2597.68,1.20345,1.01693,1.47488,0.82131,0.74604,0.82985,0.58813,0.37552,3.94143,0.36221,0.0094852,0.0094852,0.0094852
54,2646.33,1.19718,1.01114,1.46646,0.79622,0.75904,0.81812,0.57446,0.37935,4.30293,0.36207,0.0094753,0.0094753,0.0094753
