epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.187,1.46198,2.09926,1.67656,0.29251,0.38994,0.25945,0.15289,1.12854,22.2606,1.2659,0.00332869,0.00332869,0.00332869
2,244.561,1.3566,1.67936,1.55378,0.35901,0.34921,0.30457,0.17211,1.22222,9.66413,1.3181,0.00665543,0.00665543,0.00665543
3,365.526,1.40189,1.71991,1.59784,0.32052,0.34163,0.25371,0.13944,1.19695,103.619,1.33336,0.00997557,0.00997557,0.00997557
4,485.677,1.41966,1.74681,1.62264,0.36831,0.35279,0.29568,0.15855,1.19707,58.0571,1.32434,0.0099703,0.0099703,0.0099703
5,605.806,1.37431,1.66816,1.59325,0.41103,0.41591,0.37621,0.22998,1.10718,19.4001,1.25136,0.0099604,0.0099604,0.0099604
6,726.313,1.32908,1.58591,1.55761,0.47478,0.45235,0.44132,0.2701,1.07817,17.3072,1.24113,0.0099505,0.0099505,0.0099505
7,846.784,1.28938,1.50374,1.52516,0.4744,0.4184,0.42646,0.26929,1.04723,13.7252,1.19805,0.0099406,0.0099406,0.0099406
8,966.397,1.26603,1.45651,1.5031,0.54024,0.48734,0.48924,0.30896,0.99506,4.92928,1.17237,0.0099307,0.0099307,0.0099307
9,1086.67,1.24224,1.41957,1.48963,0.52277,0.50303,0.50352,0.31491,0.97211,11.5204,1.14709,0.0099208,0.0099208,0.0099208
10,1206.72,1.21443,1.35808,1.45985,0.55346,0.54434,0.5309,0.34329,0.92845,6.30694,1.10444,0.0099109,0.0099109,0.0099109
11,1326.8,1.19964,1.33689,1.45364,0.56737,0.511,0.55103,0.36463,0.92177,3.4153,1.09405,0.009901,0.009901,0.009901
12,1447.02,1.17131,1.29901,1.4318,0.53351,0.56919,0.54976,0.36154,0.92599,4.10885,1.09962,0.0098911,0.0098911,0.0098911
13,1566.75,1.15638,1.26194,1.4176,0.64798,0.52904,0.58234,0.39089,0.90617,11.659,1.08553,0.0098812,0.0098812,0.0098812
14,1686.97,1.14247,1.24554,1.40779,0.56339,0.56028,0.57798,0.38256,0.87967,8.08389,1.06581,0.0098713,0.0098713,0.0098713
15,1806.74,1.1279,1.20956,1.38967,0.59492,0.58111,0.59182,0.40477,0.88634,4.0152,1.05443,0.0098614,0.0098614,0.0098614
16,1926.79,1.10957,1.17926,1.37936,0.59053,0.60153,0.62031,0.42103,0.86021,4.18561,1.0373,0.0098515,0.0098515,0.0098515
