epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.0997,1.77022,2.24122,1.97197,0.45203,0.2373,0.23231,0.13024,0.47536,34.2794,0.43379,0.00332649,0.00332649,0.00332649
2,165.489,1.63857,1.77353,1.82824,0.45424,0.23904,0.25403,0.13568,0.45444,59.2664,0.40106,0.00665323,0.00665323,0.00665323
3,247.501,1.6674,1.82626,1.85769,0.58875,0.31338,0.28016,0.15208,0.49357,182.509,0.42817,0.00997337,0.00997337,0.00997337
4,329.323,1.68487,1.87803,1.88761,0.51182,0.33095,0.34201,0.18458,0.45369,56.2653,0.42368,0.0099703,0.0099703,0.0099703
5,411.802,1.64416,1.81898,1.87115,0.36657,0.41542,0.35793,0.19236,0.44056,116.74,0.41312,0.0099604,0.0099604,0.0099604
6,493.728,1.59649,1.7054,1.82022,0.46449,0.39458,0.39333,0.23709,0.41027,53.4162,0.38219,0.0099505,0.0099505,0.0099505
7,575.466,1.55586,1.62871,1.79308,0.61989,0.41522,0.4776,0.29546,0.41135,19.7809,0.39459,0.0099406,0.0099406,0.0099406
8,657.333,1.52623,1.58177,1.76831,0.61912,0.45812,0.5225,0.31135,0.40727,44.6235,0.38191,0.0099307,0.0099307,0.0099307
9,739.323,1.50184,1.5,1.74234,0.46777,0.49533,0.46525,0.27194,0.42797,20.9048,0.40299,0.0099208,0.0099208,0.0099208
10,820.638,1.47627,1.47522,1.71879,0.66888,0.45354,0.56782,0.3669,0.40734,39.75,0.38211,0.0099109,0.0099109,0.0099109
11,902.552,1.44633,1.40349,1.69036,0.7085,0.49287,0.5625,0.36906,0.39264,50.1962,0.36734,0.009901,0.009901,0.009901
12,984.296,1.42696,1.39037,1.68167,0.66453,0.5295,0.602,0.38117,0.39569,13.8699,0.37341,0.0098911,0.0098911,0.0098911
13,1065.99,1.4015,1.33642,1.65999,0.85621,0.51175,0.63392,0.40129,0.41452,31.0515,0.39636,0.0098812,0.0098812,0.0098812
14,1147.69,1.39142,1.30647,1.64613,0.83772,0.54267,0.68977,0.45383,0.42398,3.43119,0.39594,0.0098713,0.0098713,0.0098713
15,1229.43,1.36136,1.26678,1.62669,0.77763,0.63647,0.71038,0.4697,0.39943,8.9659,0.38002,0.0098614,0.0098614,0.0098614
16,1310.97,1.35225,1.24903,1.62432,0.76611,0.58038,0.71553,0.46582,0.40541,11.1936,0.37555,0.0098515,0.0098515,0.0098515
17,1392.18,1.33327,1.21557,1.59722,0.7919,0.63575,0.74659,0.50696,0.3781,5.12274,0.38222,0.0098416,0.0098416,0.0098416
18,1473.81,1.31317,1.18478,1.57816,0.77352,0.6225,0.72123,0.49734,0.38268,5.98039,0.37065,0.0098317,0.0098317,0.0098317
19,1555.16,1.30775,1.16647,1.57236,0.8091,0.61101,0.74512,0.5013,0.3825,6.84057,0.36683,0.0098218,0.0098218,0.0098218
20,1636.31,1.29171,1.15132,1.56565,0.75478,0.64641,0.73897,0.49291,0.3831,9.89665,0.36867,0.0098119,0.0098119,0.0098119
21,1717.73,1.28452,1.12631,1.54543,0.82142,0.60875,0.7531,0.52227,0.4037,5.94999,0.37942,0.009802,0.009802,0.009802
22,1799.43,1.25766,1.10009,1.53052,0.79032,0.64843,0.76141,0.52727,0.38867,7.44762,0.37309,0.0097921,0.0097921,0.0097921
23,1881.27,1.25581,1.08692,1.52875,0.78149,0.69361,0.79634,0.54529,0.37843,9.523,0.36557,0.0097822,0.0097822,0.0097822
24,1963.02,1.23631,1.05719,1.51041,0.82838,0.68407,0.79915,0.55689,0.38697,5.99921,0.37601,0.0097723,0.0097723,0.0097723
25,2044.65,1.22993,1.04941,1.50502,0.77099,0.74036,0.80023,0.55591,0.36967,3.96017,0.36861,0.0097624,0.0097624,0.0097624
26,2125.77,1.21352,1.03529,1.49063,0.90703,0.61965,0.80804,0.54483,0.40287,4.81355,0.38922,0.0097525,0.0097525,0.0097525
27,2207.19,1.1973,1.01559,1.48091,0.8182,0.62467,0.78045,0.54566,0.38414,2.54012,0.366,0.0097426,0.0097426,0.0097426
28,2288.52,1.18998,0.99524,1.46755,0.8278,0.71247,0.80345,0.54697,0.38843,5.17016,0.38491,0.0097327,0.0097327,0.0097327
29,2369.82,1.17404,0.97789,1.45444,0.76488,0.79166,0.84528,0.59249,0.3876,1.29855,0.38128,0.0097228,0.0097228,0.0097228
30,2451.64,1.16862,0.96632,1.45026,0.90149,0.72172,0.85891,0.61337,0.36087,2.86311,0.35748,0.0097129,0.0097129,0.0097129
31,2533.29,1.15797,0.9545,1.44405,0.8555,0.68007,0.83957,0.58631,0.38929,2.87541,0.37271,0.009703,0.009703,0.009703
32,2614.5,1.15259,0.948,1.4412,0.80498,0.80428,0.86251,0.60978,0.37828,3.77108,0.37025,0.0096931,0.0096931,0.0096931
33,2695.82,1.1408,0.92901,1.42508,0.81797,0.79962,0.84505,0.59617,0.37952,3.64066,0.36755,0.0096832,0.0096832,0.0096832
34,2776.89,1.13721,0.92589,1.43201,0.84387,0.74136,0.85305,0.60785,0.37768,1.72791,0.36377,0.0096733,0.0096733,0.0096733
35,2858.11,1.12961,0.91765,1.41966,0.83558,0.77813,0.86218,0.61672,0.3771,5.49053,0.3661,0.0096634,0.0096634,0.0096634
36,2939.87,1.12215,0.90174,1.40914,0.8126,0.79058,0.85488,0.61001,0.37291,5.55927,0.36109,0.0096535,0.0096535,0.0096535
37,3021.07,1.11462,0.89466,1.40243,0.83793,0.80835,0.8691,0.63096,0.36059,1.05004,0.35277,0.0096436,0.0096436,0.0096436
38,3102.87,1.10178,0.87881,1.38617,0.86582,0.7605,0.86327,0.61068,0.37599,3.25619,0.36282,0.0096337,0.0096337,0.0096337
39,3184.08,1.08875,0.86925,1.38274,0.82184,0.78452,0.86812,0.62832,0.36366,2.90025,0.35441,0.0096238,0.0096238,0.0096238
40,3265.28,1.08122,0.8614,1.37714,0.80684,0.76802,0.85873,0.61729,0.36681,0.971,0.36421,0.0096139,0.0096139,0.0096139
41,3346.52,1.07001,0.84491,1.36876,0.776,0.82893,0.87384,0.63899,0.35453,1.44207,0.35232,0.009604,0.009604,0.009604
42,3428.15,1.07991,0.85559,1.37683,0.78992,0.81888,0.85996,0.6341,0.36449,1.78812,0.36179,0.0095941,0.0095941,0.0095941
43,3509.35,1.0634,0.83329,1.36292,0.85373,0.82593,0.88987,0.65689,0.36327,0.81544,0.3589,0.0095842,0.0095842,0.0095842
44,3591.16,1.05603,0.83579,1.35554,0.85143,0.82311,0.88335,0.63576,0.35601,1.18106,0.35787,0.0095743,0.0095743,0.0095743
45,3672.34,1.04856,0.82655,1.3513,0.81475,0.86561,0.89355,0.64912,0.35574,3.35096,0.34334,0.0095644,0.0095644,0.0095644
46,3753.77,1.04619,0.81937,1.34659,0.83831,0.81983,0.87799,0.64455,0.36588,1.02858,0.36525,0.0095545,0.0095545,0.0095545
47,3834.95,1.03522,0.80583,1.33922,0.89169,0.79889,0.88104,0.65349,0.3702,1.10477,0.36166,0.0095446,0.0095446,0.0095446
48,3916.06,1.02219,0.80098,1.33256,0.88992,0.75759,0.87465,0.63233,0.36366,1.73122,0.3606,0.0095347,0.0095347,0.0095347
49,3997.26,1.02501,0.79741,1.33237,0.84842,0.7903,0.86202,0.62919,0.37628,0.92335,0.36865,0.0095248,0.0095248,0.0095248
50,4078.53,1.01861,0.78905,1.32676,0.87825,0.77146,0.872,0.62956,0.3772,0.67333,0.37422,0.0095149,0.0095149,0.0095149
51,4159.76,1.00548,0.77779,1.31812,0.8337,0.77452,0.85941,0.62367,0.37848,1.16912,0.37182,0.009505,0.009505,0.009505
52,4240.94,1.0076,0.77977,1.31916,0.87304,0.7713,0.88279,0.64442,0.36372,0.58785,0.36427,0.0094951,0.0094951,0.0094951
53,4322.12,1.00156,0.76796,1.31056,0.83307,0.83703,0.87498,0.64716,0.35741,0.88966,0.35361,0.0094852,0.0094852,0.0094852
54,4403.44,0.98786,0.75998,1.29962,0.83002,0.83532,0.87392,0.63504,0.36697,0.75201,0.36482,0.0094753,0.0094753,0.0094753
55,4484.72,0.99156,0.76136,1.30451,0.8083,0.84785,0.87637,0.65211,0.36606,1.08792,0.36366,0.0094654,0.0094654,0.0094654
56,4566.05,0.98048,0.7555,1.29266,0.814,0.83151,0.87484,0.64442,0.36091,1.18759,0.36134,0.0094555,0.0094555,0.0094555
57,4647.33,0.97845,0.75254,1.2955,0.82397,0.83861,0.87665,0.65507,0.35942,0.43458,0.35909,0.0094456,0.0094456,0.0094456
58,4728.42,0.97255,0.74515,1.29267,0.83957,0.79401,0.8633,0.6365,0.35844,0.93914,0.36296,0.0094357,0.0094357,0.0094357
59,4809.64,0.96763,0.74135,1.28462,0.80546,0.83841,0.87079,0.63343,0.36059,0.73976,0.36108,0.0094258,0.0094258,0.0094258
60,4890.89,0.96535,0.73651,1.2836,0.89064,0.79171,0.88362,0.66331,0.34934,0.63046,0.35413,0.0094159,0.0094159,0.0094159
61,4973.78,0.95818,0.72779,1.27077,0.81338,0.85528,0.87743,0.64843,0.35874,0.34251,0.36,0.009406,0.009406,0.009406
62,5055.66,0.95547,0.72275,1.27412,0.85127,0.80876,0.88576,0.6698,0.35945,0.37934,0.36176,0.0093961,0.0093961,0.0093961
63,5137.36,0.95076,0.72373,1.27682,0.85488,0.83932,0.88518,0.66277,0.35622,0.52669,0.35751,0.0093862,0.0093862,0.0093862
64,5218.43,0.94734,0.72143,1.27314,0.80465,0.87335,0.87074,0.65302,0.35097,0.87871,0.34948,0.0093763,0.0093763,0.0093763
65,5299.73,0.94236,0.71401,1.26222,0.80192,0.862,0.88053,0.65954,0.3525,0.51193,0.3587,0.0093664,0.0093664,0.0093664
66,5380.85,0.9257,0.70213,1.25634,0.81196,0.85849,0.8728,0.65036,0.35507,0.98744,0.35452,0.0093565,0.0093565,0.0093565
67,5462.07,0.93496,0.71302,1.26414,0.84561,0.79383,0.88045,0.65624,0.36217,0.35502,0.36189,0.0093466,0.0093466,0.0093466
68,5543.42,0.92342,0.69403,1.2499,0.81394,0.86208,0.88992,0.65086,0.36487,0.28285,0.36191,0.0093367,0.0093367,0.0093367
69,5624.66,0.92696,0.70667,1.2547,0.80608,0.88418,0.8881,0.6553,0.35859,0.38178,0.35489,0.0093268,0.0093268,0.0093268
70,5705.98,0.92639,0.7021,1.24971,0.81969,0.82998,0.88611,0.66302,0.35962,0.34761,0.35696,0.0093169,0.0093169,0.0093169
71,5787.65,0.91692,0.69118,1.24258,0.82267,0.8544,0.88507,0.66351,0.35283,0.35141,0.35533,0.009307,0.009307,0.009307
72,5869,0.91265,0.68567,1.24318,0.82702,0.85502,0.88492,0.66431,0.34644,0.57721,0.3501,0.0092971,0.0092971,0.0092971
73,5950.31,0.9125,0.68158,1.24037,0.81868,0.86927,0.89211,0.66452,0.35165,0.38565,0.35129,0.0092872,0.0092872,0.0092872
74,6031.77,0.91096,0.68584,1.24012,0.84182,0.85175,0.89393,0.66633,0.3512,0.77495,0.3555,0.0092773,0.0092773,0.0092773
75,6112.93,0.90585,0.68266,1.24278,0.81601,0.85726,0.8832,0.65238,0.35026,0.50602,0.35271,0.0092674,0.0092674,0.0092674
