epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,232.69,1.423,2.15414,1.72885,0.30105,0.40674,0.28368,0.17385,0.91883,37.3798,1.10751,0.00333101,0.00333101,0.00333101
2,457.228,1.30101,1.7037,1.60183,0.39643,0.45261,0.36961,0.22015,0.92155,19.2165,1.10814,0.00663136,0.00663136,0.00663136
3,679.436,1.33594,1.71165,1.6276,0.39448,0.44478,0.36898,0.2198,0.92744,7.27014,1.10418,0.0098987,0.0098987,0.0098987
4,900.061,1.36188,1.74908,1.66017,0.45601,0.42796,0.3892,0.2279,0.92762,15.0927,1.12167,0.0098515,0.0098515,0.0098515
5,1122.64,1.30782,1.64064,1.62103,0.51015,0.49179,0.45149,0.28087,0.87832,14.7557,1.07508,0.009802,0.009802,0.009802
6,1344.26,1.26089,1.55631,1.58062,0.48402,0.49397,0.47949,0.30053,0.874,8.60453,1.0665,0.0097525,0.0097525,0.0097525
7,1566.05,1.2354,1.48827,1.56336,0.54807,0.52467,0.5156,0.33919,0.83735,6.02535,1.04309,0.009703,0.009703,0.009703
8,1787.81,1.20283,1.42506,1.5309,0.5564,0.51565,0.52376,0.33939,0.82146,7.86257,1.04342,0.0096535,0.0096535,0.0096535
9,2009.93,1.1765,1.37688,1.50926,0.56182,0.54874,0.53621,0.3545,0.80472,6.43218,1.0213,0.009604,0.009604,0.009604
10,2231.34,1.14814,1.33299,1.48627,0.59107,0.56142,0.57316,0.38549,0.78895,7.19579,1.00729,0.0095545,0.0095545,0.0095545
11,2453.34,1.1215,1.29291,1.4661,0.59613,0.57533,0.59354,0.39434,0.77952,5.499,0.99945,0.009505,0.009505,0.009505
12,2675.65,1.11292,1.26168,1.45965,0.60284,0.59224,0.61115,0.41616,0.76555,3.22187,0.98316,0.0094555,0.0094555,0.0094555
13,2897.37,1.08627,1.22175,1.43614,0.64113,0.63075,0.63692,0.44182,0.73962,4.4367,0.96738,0.009406,0.009406,0.009406
14,3119.18,1.0702,1.20177,1.42509,0.59053,0.62051,0.61774,0.43056,0.73381,4.207,0.95915,0.0093565,0.0093565,0.0093565
15,3339.1,1.05185,1.15559,1.41041,0.64041,0.62569,0.64363,0.44907,0.72434,3.34631,0.95822,0.009307,0.009307,0.009307
16,3560.43,1.04194,1.14083,1.39851,0.64452,0.64329,0.6598,0.46637,0.71286,6.14709,0.93455,0.0092575,0.0092575,0.0092575
17,3781.92,1.02499,1.11569,1.38557,0.66156,0.63161,0.65656,0.45929,0.70423,2.81968,0.93101,0.009208,0.009208,0.009208
18,4002,1.01505,1.09382,1.37789,0.66164,0.65182,0.67133,0.47298,0.70437,2.75512,0.92966,0.0091585,0.0091585,0.0091585
19,4224.05,0.99448,1.07157,1.35894,0.66927,0.65526,0.68124,0.48597,0.69084,1.72724,0.91318,0.009109,0.009109,0.009109
20,4446.2,0.98931,1.04322,1.35029,0.69578,0.66904,0.6882,0.49219,0.67734,2.03131,0.89612,0.0090595,0.0090595,0.0090595
21,4668.02,0.97166,1.02377,1.34086,0.70092,0.66817,0.6915,0.49797,0.68314,1.37944,0.92469,0.00901,0.00901,0.00901
22,4890.35,0.96139,1.00371,1.32708,0.68494,0.69944,0.69536,0.50367,0.6608,2.16923,0.89016,0.0089605,0.0089605,0.0089605
23,5112.01,0.9558,0.99256,1.32678,0.7016,0.7112,0.72306,0.52539,0.65437,1.35538,0.88155,0.008911,0.008911,0.008911
24,5333.62,0.94132,0.9795,1.31663,0.74291,0.67058,0.72352,0.52551,0.65099,1.45835,0.8887,0.0088615,0.0088615,0.0088615
25,5555.56,0.93006,0.9568,1.30164,0.69968,0.68705,0.7051,0.51572,0.65557,2.07574,0.88842,0.008812,0.008812,0.008812
26,5777.43,0.9216,0.93829,1.30002,0.72383,0.70349,0.73283,0.5414,0.63837,2.03578,0.87092,0.0087625,0.0087625,0.0087625
27,5998.85,0.9128,0.93102,1.2912,0.75281,0.69786,0.74121,0.54828,0.6328,1.33708,0.87909,0.008713,0.008713,0.008713
28,6220.57,0.90503,0.91688,1.2853,0.73846,0.71555,0.75372,0.56248,0.61803,1.07591,0.86022,0.0086635,0.0086635,0.0086635
29,6442.2,0.90209,0.90454,1.28436,0.70512,0.7379,0.75037,0.55814,0.62624,2.19434,0.86545,0.008614,0.008614,0.008614
30,6662.47,0.88796,0.89122,1.2776,0.7551,0.7325,0.76417,0.57466,0.59855,1.4358,0.85008,0.0085645,0.0085645,0.0085645
31,6884.48,0.87942,0.87865,1.26299,0.73649,0.7404,0.7663,0.57675,0.60722,1.56674,0.84935,0.008515,0.008515,0.008515
32,7106.27,0.87308,0.86893,1.26433,0.7556,0.74763,0.76466,0.57763,0.59841,1.16753,0.84205,0.0084655,0.0084655,0.0084655
33,7328.02,0.86432,0.85149,1.25383,0.75571,0.75354,0.77978,0.58884,0.60174,1.21934,0.84297,0.008416,0.008416,0.008416
34,7549.6,0.85705,0.84934,1.2533,0.76635,0.73776,0.77076,0.58132,0.59603,1.09701,0.84141,0.0083665,0.0083665,0.0083665
35,7769.93,0.85075,0.83104,1.24942,0.77147,0.75737,0.78772,0.59545,0.58033,1.37938,0.83334,0.008317,0.008317,0.008317
36,7991.84,0.84122,0.82617,1.23905,0.77379,0.74008,0.77511,0.59148,0.58241,0.86188,0.83391,0.0082675,0.0082675,0.0082675
37,8212.44,0.83436,0.81029,1.2338,0.77033,0.75508,0.7871,0.6003,0.57655,0.89365,0.82607,0.008218,0.008218,0.008218
38,8434.11,0.83423,0.80801,1.23374,0.74939,0.76908,0.78788,0.60189,0.5803,1.06137,0.82741,0.0081685,0.0081685,0.0081685
39,8656.12,0.82358,0.79989,1.22763,0.77047,0.75003,0.7801,0.59948,0.56716,1.20535,0.82668,0.008119,0.008119,0.008119
40,8877.37,0.8209,0.78374,1.22033,0.7508,0.76517,0.78174,0.60574,0.56515,1.00891,0.82102,0.0080695,0.0080695,0.0080695
41,9099.3,0.81329,0.77619,1.21467,0.75627,0.775,0.79473,0.61758,0.55585,0.86879,0.81232,0.00802,0.00802,0.00802
42,9321.19,0.80217,0.77501,1.20763,0.78191,0.77365,0.80924,0.62589,0.55801,0.86878,0.81275,0.0079705,0.0079705,0.0079705
43,9543.54,0.8055,0.76851,1.20958,0.78006,0.77728,0.81433,0.63591,0.55965,0.80342,0.81533,0.007921,0.007921,0.007921
44,9764.78,0.79622,0.75793,1.19996,0.78399,0.77164,0.80654,0.63168,0.54743,0.80347,0.80498,0.0078715,0.0078715,0.0078715
45,9985.1,0.79427,0.76127,1.20193,0.75347,0.7894,0.80686,0.63322,0.54741,0.77254,0.8058,0.007822,0.007822,0.007822
46,10205.8,0.79162,0.7542,1.19849,0.78706,0.77928,0.80397,0.62812,0.55596,0.77038,0.8115,0.0077725,0.0077725,0.0077725
47,10426,0.78217,0.74012,1.19134,0.78759,0.78274,0.8086,0.63777,0.54572,0.88269,0.80459,0.007723,0.007723,0.007723
48,10647.8,0.77549,0.73207,1.18368,0.7984,0.76726,0.81035,0.63648,0.55004,0.68587,0.80278,0.0076735,0.0076735,0.0076735
49,10867.7,0.77298,0.72265,1.1783,0.79481,0.76267,0.80745,0.64002,0.55054,0.95924,0.80342,0.007624,0.007624,0.007624
50,11089,0.76548,0.72089,1.17225,0.82111,0.75206,0.81583,0.64755,0.53963,0.80648,0.7956,0.0075745,0.0075745,0.0075745
51,11311.5,0.76325,0.72557,1.17579,0.80434,0.77282,0.81682,0.65034,0.52737,0.67371,0.79329,0.007525,0.007525,0.007525
52,11532.9,0.75919,0.71159,1.16911,0.79938,0.78559,0.82234,0.65726,0.52314,0.67607,0.78415,0.0074755,0.0074755,0.0074755
53,11754.8,0.75697,0.70973,1.17168,0.79652,0.78546,0.82538,0.65966,0.51823,0.71738,0.78055,0.007426,0.007426,0.007426
54,11976,0.75516,0.70359,1.16614,0.82288,0.76904,0.82888,0.66254,0.52336,0.70971,0.78604,0.0073765,0.0073765,0.0073765
55,12197.6,0.74665,0.69075,1.15913,0.82727,0.77176,0.82882,0.66554,0.51648,0.67902,0.78156,0.007327,0.007327,0.007327
56,12420.2,0.74469,0.69531,1.1612,0.83549,0.76646,0.83023,0.66566,0.5124,0.68223,0.77923,0.0072775,0.0072775,0.0072775
57,12641.9,0.73836,0.68245,1.15224,0.81318,0.78885,0.83067,0.66871,0.51454,0.7454,0.78012,0.007228,0.007228,0.007228
58,12863.6,0.73602,0.67989,1.15323,0.80837,0.78442,0.82946,0.66919,0.50972,0.76138,0.77874,0.0071785,0.0071785,0.0071785
59,13085.4,0.73132,0.67952,1.1505,0.81397,0.78555,0.83114,0.67071,0.50724,0.78815,0.77817,0.007129,0.007129,0.007129
60,13307,0.72364,0.67531,1.15513,0.81288,0.79696,0.83261,0.67191,0.50519,0.78842,0.77855,0.0070795,0.0070795,0.0070795
61,13528.7,0.72048,0.66879,1.14609,0.82033,0.797,0.83725,0.67669,0.50213,0.70544,0.77644,0.00703,0.00703,0.00703
62,13749.8,0.72201,0.66161,1.14236,0.80605,0.813,0.83781,0.6802,0.49855,0.65966,0.77287,0.0069805,0.0069805,0.0069805
63,13971.5,0.71609,0.65769,1.13545,0.79988,0.81299,0.83782,0.6811,0.49815,0.60644,0.77122,0.006931,0.006931,0.006931
64,14194,0.71323,0.65918,1.13725,0.80909,0.8093,0.83787,0.67933,0.49486,0.61749,0.76921,0.0068815,0.0068815,0.0068815
65,14414.1,0.71117,0.65274,1.13832,0.82399,0.7871,0.84166,0.68278,0.49243,0.60723,0.76964,0.006832,0.006832,0.006832
66,14635.6,0.70876,0.65133,1.13753,0.81374,0.80745,0.84445,0.68579,0.49041,0.62131,0.76869,0.0067825,0.0067825,0.0067825
67,14857,0.70214,0.64219,1.1343,0.82171,0.80471,0.84614,0.68936,0.48905,0.62391,0.76816,0.006733,0.006733,0.006733
68,15078.6,0.70151,0.64034,1.13036,0.8171,0.80772,0.84481,0.68867,0.4889,0.61619,0.76803,0.0066835,0.0066835,0.0066835
69,15298.6,0.69454,0.63123,1.1233,0.82622,0.7988,0.84548,0.69103,0.48742,0.62667,0.76723,0.006634,0.006634,0.006634
70,15519.9,0.68993,0.63486,1.12354,0.8266,0.80358,0.84864,0.69329,0.48512,0.62974,0.76665,0.0065845,0.0065845,0.0065845
