epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.9124,1.478,2.60698,1.68482,0.26888,0.3224,0.21096,0.12075,1.14402,35.3475,1.28671,0.00332869,0.00332869,0.00332869
2,135.472,1.39693,2.13484,1.60213,0.26706,0.30088,0.21398,0.11531,1.17612,15.5198,1.32795,0.00662905,0.00662905,0.00662905
3,200.08,1.42721,2.03094,1.62904,0.27337,0.29706,0.22019,0.1222,1.228,17.8867,1.38702,0.0098964,0.0098964,0.0098964
4,264.884,1.43568,1.95226,1.65264,0.34588,0.3688,0.28571,0.15761,1.19356,54.7392,1.33919,0.0098515,0.0098515,0.0098515
5,330.573,1.39568,1.84727,1.62125,0.33431,0.36374,0.30746,0.17006,1.13397,40.1486,1.29705,0.009802,0.009802,0.009802
6,395.21,1.36513,1.77062,1.5918,0.41984,0.42963,0.3721,0.22694,1.08344,8.16708,1.26588,0.0097525,0.0097525,0.0097525
7,461.075,1.33754,1.69568,1.56959,0.45719,0.42023,0.39919,0.24312,1.06894,31.9348,1.21909,0.009703,0.009703,0.009703
8,525.624,1.3176,1.64415,1.55232,0.49557,0.46243,0.44086,0.26585,1.03148,23.2873,1.19727,0.0096535,0.0096535,0.0096535
9,590.216,1.29669,1.60637,1.53991,0.4563,0.47605,0.43284,0.26817,1.04123,9.93009,1.22504,0.009604,0.009604,0.009604
10,654.874,1.27741,1.54907,1.51732,0.51013,0.48495,0.46781,0.29277,1.00708,24.0827,1.17872,0.0095545,0.0095545,0.0095545
11,719.505,1.2644,1.53491,1.51513,0.49275,0.48382,0.46506,0.28411,1.01489,18.5088,1.19165,0.009505,0.009505,0.009505
12,784.01,1.24575,1.49664,1.4965,0.5076,0.50133,0.47311,0.29484,0.99361,19.3622,1.17081,0.0094555,0.0094555,0.0094555
13,848.68,1.2388,1.46642,1.48898,0.53201,0.51433,0.52462,0.33559,0.9798,13.4172,1.15717,0.009406,0.009406,0.009406
14,913.509,1.22637,1.45043,1.48165,0.50883,0.49894,0.49402,0.31268,0.98286,9.85751,1.16039,0.0093565,0.0093565,0.0093565
15,978.043,1.21344,1.41905,1.46551,0.53684,0.50562,0.50948,0.33593,0.9629,6.81677,1.15933,0.009307,0.009307,0.009307
16,1042.35,1.20116,1.39616,1.45883,0.55166,0.50305,0.51626,0.33837,0.94283,8.63976,1.1322,0.0092575,0.0092575,0.0092575
17,1106.88,1.19101,1.36614,1.4446,0.53218,0.54339,0.533,0.35003,0.92673,9.73891,1.12226,0.009208,0.009208,0.009208
18,1171.39,1.17893,1.35289,1.434,0.57894,0.54816,0.55446,0.36476,0.94591,11.0269,1.12111,0.0091585,0.0091585,0.0091585
19,1235.85,1.17338,1.33591,1.4302,0.53882,0.53851,0.54555,0.3625,0.92444,7.76242,1.11442,0.009109,0.009109,0.009109
20,1300.42,1.17013,1.32095,1.42419,0.59294,0.54982,0.55557,0.36855,0.92386,12.3734,1.11344,0.0090595,0.0090595,0.0090595
21,1365.13,1.15814,1.30544,1.41647,0.61158,0.57612,0.58272,0.3868,0.90605,9.9822,1.09753,0.00901,0.00901,0.00901
22,1429.54,1.14907,1.28772,1.40671,0.61647,0.56098,0.59245,0.3963,0.90502,5.84211,1.09051,0.0089605,0.0089605,0.0089605
23,1493.96,1.14382,1.27261,1.40713,0.61834,0.58146,0.60208,0.40296,0.89941,7.31993,1.10317,0.008911,0.008911,0.008911
24,1558.72,1.14142,1.27081,1.39796,0.5977,0.57971,0.59269,0.39857,0.88642,7.06014,1.06816,0.0088615,0.0088615,0.0088615
25,1623.01,1.12875,1.24927,1.39142,0.58966,0.59121,0.59267,0.39987,0.88672,7.9559,1.08235,0.008812,0.008812,0.008812
26,1687.32,1.12095,1.2429,1.38303,0.61234,0.5961,0.60904,0.41393,0.87951,10.1425,1.07278,0.0087625,0.0087625,0.0087625
27,1751.93,1.11931,1.23191,1.38508,0.59191,0.61739,0.60867,0.41563,0.88717,6.99496,1.08627,0.008713,0.008713,0.008713
28,1816.6,1.11438,1.21951,1.37336,0.63592,0.59067,0.6301,0.43539,0.86951,6.85546,1.07073,0.0086635,0.0086635,0.0086635
29,1881.27,1.10419,1.20297,1.37132,0.63282,0.62132,0.62649,0.43062,0.87215,5.92937,1.07498,0.008614,0.008614,0.008614
30,1945.53,1.10057,1.20041,1.36837,0.66365,0.60324,0.62595,0.43604,0.86254,4.82713,1.06648,0.0085645,0.0085645,0.0085645
31,2010.25,1.09414,1.19299,1.36535,0.64426,0.62827,0.63212,0.43867,0.86807,6.86387,1.06897,0.008515,0.008515,0.008515
32,2074.64,1.0948,1.18342,1.36478,0.61387,0.63884,0.62956,0.43771,0.86725,4.59335,1.06945,0.0084655,0.0084655,0.0084655
33,2139.7,1.08632,1.16005,1.35653,0.64659,0.59417,0.62644,0.43294,0.85148,6.66832,1.04288,0.008416,0.008416,0.008416
34,2203.94,1.08735,1.16914,1.35452,0.65978,0.63319,0.64564,0.45107,0.84979,4.2762,1.05117,0.0083665,0.0083665,0.0083665
35,2269.44,1.07989,1.15069,1.34877,0.65079,0.62548,0.63638,0.4446,0.84673,3.98318,1.05045,0.008317,0.008317,0.008317
36,2333.83,1.07212,1.14523,1.3458,0.66089,0.63387,0.64425,0.44924,0.83548,5.46434,1.04102,0.0082675,0.0082675,0.0082675
37,2398.32,1.06809,1.12416,1.33927,0.67477,0.65292,0.66717,0.46591,0.83944,4.0962,1.04377,0.008218,0.008218,0.008218
38,2463,1.07103,1.13435,1.34174,0.68495,0.64924,0.67185,0.46941,0.83616,4.30349,1.03622,0.0081685,0.0081685,0.0081685
39,2527.73,1.06706,1.12187,1.33948,0.66794,0.65652,0.66946,0.4702,0.83925,4.17995,1.04622,0.008119,0.008119,0.008119
40,2592.26,1.05827,1.11527,1.3302,0.6584,0.65676,0.67169,0.47013,0.83134,3.59936,1.0396,0.0080695,0.0080695,0.0080695
41,2656.59,1.04997,1.10123,1.32408,0.67092,0.65944,0.67266,0.47864,0.83015,4.4574,1.03673,0.00802,0.00802,0.00802
42,2721.21,1.05209,1.09515,1.32028,0.67126,0.67398,0.68052,0.48489,0.81996,4.10578,1.03306,0.0079705,0.0079705,0.0079705
43,2785.78,1.04921,1.09219,1.32488,0.69902,0.66422,0.68425,0.48624,0.81634,3.2597,1.02788,0.007921,0.007921,0.007921
44,2850.22,1.04488,1.08466,1.31727,0.69179,0.64496,0.68571,0.48356,0.82489,3.60891,1.03532,0.0078715,0.0078715,0.0078715
45,2914.58,1.04117,1.07705,1.31624,0.66883,0.68123,0.68603,0.48767,0.81031,3.12365,1.01808,0.007822,0.007822,0.007822
46,2979.02,1.03842,1.07602,1.31594,0.70112,0.67121,0.69671,0.49363,0.81163,3.59815,1.01198,0.0077725,0.0077725,0.0077725
47,3043.62,1.03169,1.07019,1.31219,0.69896,0.67793,0.69454,0.49044,0.80465,3.33688,1.00844,0.007723,0.007723,0.007723
48,3107.87,1.02795,1.06141,1.30673,0.67666,0.6846,0.69147,0.48997,0.80308,3.02705,1.00995,0.0076735,0.0076735,0.0076735
49,3172.25,1.02539,1.0568,1.30351,0.68891,0.67712,0.69191,0.49272,0.79399,3.20204,0.99744,0.007624,0.007624,0.007624
50,3236.52,1.02201,1.04523,1.30219,0.71362,0.67462,0.69201,0.49057,0.7979,3.02243,1.00093,0.0075745,0.0075745,0.0075745
51,3300.93,1.02607,1.05063,1.30651,0.7135,0.6574,0.70035,0.49868,0.79929,3.25963,1.00142,0.007525,0.007525,0.007525
52,3367.52,1.02255,1.04284,1.29924,0.70089,0.67684,0.70379,0.50281,0.79142,2.85284,0.99883,0.0074755,0.0074755,0.0074755
53,3434.54,1.02371,1.0417,1.3006,0.68665,0.68525,0.70169,0.50413,0.78856,2.55157,0.99494,0.007426,0.007426,0.007426
54,3501.21,1.01542,1.03365,1.29531,0.68746,0.68876,0.70543,0.50725,0.78552,2.86619,0.98931,0.0073765,0.0073765,0.0073765
