epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.412,1.51655,2.24059,1.74541,0.31673,0.40025,0.27021,0.15631,1.10653,22.8859,1.26108,0.00332869,0.00332869,0.00332869
2,235.31,1.35098,1.72506,1.5596,0.40466,0.37563,0.33303,0.19028,1.09698,48.14,1.22412,0.00662905,0.00662905,0.00662905
3,350.332,1.37177,1.70439,1.5756,0.34823,0.38548,0.30136,0.17495,1.15701,22.0773,1.31328,0.0098964,0.0098964,0.0098964
4,464.962,1.38161,1.702,1.59848,0.4492,0.40234,0.36975,0.21694,1.12348,11.4134,1.30207,0.0098515,0.0098515,0.0098515
5,579.72,1.33719,1.62124,1.56167,0.47081,0.43452,0.41858,0.25333,1.05686,15.745,1.24124,0.009802,0.009802,0.009802
6,694.492,1.2934,1.54665,1.53053,0.48223,0.49184,0.46697,0.29097,1.01876,11.8484,1.19687,0.0097525,0.0097525,0.0097525
7,809.326,1.25734,1.46542,1.49956,0.53037,0.49215,0.49429,0.3152,0.99966,16.3146,1.16436,0.009703,0.009703,0.009703
8,924.038,1.23171,1.41645,1.48039,0.50929,0.50982,0.4875,0.31497,0.97836,17.9374,1.18123,0.0096535,0.0096535,0.0096535
9,1038.22,1.20827,1.38342,1.4655,0.60686,0.50627,0.52988,0.34147,0.9825,10.0701,1.17315,0.009604,0.009604,0.009604
10,1153.04,1.18137,1.32419,1.44072,0.57192,0.52002,0.5475,0.36478,0.94393,21.4393,1.13714,0.0095545,0.0095545,0.0095545
11,1267.81,1.16185,1.29911,1.43155,0.59491,0.5559,0.56621,0.37732,0.93449,9.81605,1.12986,0.009505,0.009505,0.009505
12,1382.68,1.13979,1.26837,1.41201,0.55912,0.57268,0.55408,0.37301,0.91822,15.0336,1.11809,0.0094555,0.0094555,0.0094555
13,1496.76,1.12586,1.23428,1.40109,0.63901,0.57289,0.61457,0.41704,0.90736,10.7013,1.09096,0.009406,0.009406,0.009406
14,1611.52,1.11094,1.21663,1.38738,0.5521,0.57176,0.56766,0.37938,0.91373,9.77817,1.12604,0.0093565,0.0093565,0.0093565
15,1725.72,1.09375,1.18128,1.3725,0.65715,0.59991,0.61516,0.42008,0.87632,9.20692,1.0808,0.009307,0.009307,0.009307
16,1840.29,1.07764,1.14786,1.35949,0.60425,0.60452,0.61507,0.42062,0.89135,9.67338,1.09687,0.0092575,0.0092575,0.0092575
17,1955.12,1.06599,1.12221,1.34332,0.66726,0.60621,0.64137,0.44349,0.86182,5.25099,1.0605,0.009208,0.009208,0.009208
18,2069.91,1.05023,1.10612,1.33505,0.62657,0.63431,0.63499,0.44313,0.85541,5.12821,1.0486,0.0091585,0.0091585,0.0091585
19,2184.11,1.04104,1.08628,1.32513,0.64143,0.62403,0.62784,0.43712,0.84232,2.92145,1.04257,0.009109,0.009109,0.009109
20,2298.48,1.03669,1.07048,1.32127,0.66086,0.62806,0.661,0.4659,0.83372,7.49656,1.0307,0.0090595,0.0090595,0.0090595
21,2413.49,1.02049,1.04735,1.3097,0.68423,0.66076,0.67152,0.47387,0.81106,5.26543,1.0267,0.00901,0.00901,0.00901
22,2528.12,1.01296,1.03495,1.30476,0.69819,0.63879,0.69172,0.4932,0.82216,6.14666,1.02716,0.0089605,0.0089605,0.0089605
