epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,193.473,1.5187,2.25686,1.73945,0.24687,0.39226,0.20255,0.1205,1.04093,27.62,1.15263,0.00333107,0.00333107,0.00333107
2,384.617,1.37498,1.79275,1.58861,0.29646,0.36736,0.25691,0.14817,1.07345,22.9497,1.18119,0.00665781,0.00665781,0.00665781
3,577.711,1.39343,1.78795,1.60149,0.3141,0.40344,0.2792,0.16361,1.0641,11.0262,1.18645,0.00997795,0.00997795,0.00997795
4,768.254,1.41165,1.80493,1.62672,0.35629,0.38052,0.28236,0.16508,1.01827,16.1072,1.1542,0.0099703,0.0099703,0.0099703
5,958.574,1.37476,1.72463,1.60081,0.37647,0.41042,0.31669,0.19315,0.97245,18.3472,1.11577,0.0099604,0.0099604,0.0099604
6,1148.97,1.33434,1.65001,1.57148,0.46694,0.43555,0.40518,0.25029,0.95663,10.9773,1.11196,0.0099505,0.0099505,0.0099505
7,1339.06,1.30261,1.58476,1.5488,0.46336,0.437,0.41317,0.25478,0.93388,13.1647,1.09194,0.0099406,0.0099406,0.0099406
8,1529.01,1.27716,1.52777,1.5215,0.4593,0.43949,0.41785,0.26447,0.91521,13.7725,1.07441,0.0099307,0.0099307,0.0099307
9,1719.07,1.25537,1.48617,1.50509,0.4873,0.46511,0.43892,0.28386,0.90871,10.5011,1.05771,0.0099208,0.0099208,0.0099208
10,1908.94,1.22874,1.44186,1.48578,0.45226,0.47265,0.45525,0.29696,0.88559,8.43431,1.04841,0.0099109,0.0099109,0.0099109
11,2099,1.21653,1.41582,1.47857,0.46144,0.47805,0.45716,0.29965,0.88196,5.13732,1.04076,0.009901,0.009901,0.009901
12,2289.24,1.19842,1.37836,1.45504,0.48535,0.50796,0.47353,0.31301,0.85573,5.59645,1.03076,0.0098911,0.0098911,0.0098911
13,2479.1,1.18661,1.36302,1.45295,0.50727,0.50888,0.4888,0.32408,0.85427,4.22543,1.0122,0.0098812,0.0098812,0.0098812
14,2668.96,1.16614,1.32729,1.42986,0.53182,0.49933,0.49621,0.33209,0.83013,6.50892,1.0079,0.0098713,0.0098713,0.0098713
15,2858.72,1.15177,1.29902,1.41962,0.53861,0.52253,0.50074,0.33647,0.84011,4.50192,1.0052,0.0098614,0.0098614,0.0098614
16,3048.4,1.13962,1.27909,1.40879,0.53982,0.51055,0.50197,0.34372,0.82625,5.37372,1.00702,0.0098515,0.0098515,0.0098515
17,3238.13,1.1263,1.26044,1.39612,0.51812,0.54003,0.5143,0.34902,0.83265,3.75471,1.0011,0.0098416,0.0098416,0.0098416
18,3427.79,1.11916,1.23649,1.39101,0.56303,0.52901,0.53126,0.36291,0.82344,4.72033,0.99475,0.0098317,0.0098317,0.0098317
19,3617.97,1.10385,1.2177,1.38078,0.54084,0.51681,0.53131,0.3669,0.80939,4.23728,0.99071,0.0098218,0.0098218,0.0098218
20,3807.85,1.09082,1.19915,1.37108,0.57333,0.5144,0.53608,0.3697,0.80425,3.0405,0.97702,0.0098119,0.0098119,0.0098119
21,3997.58,1.08431,1.18514,1.36359,0.55578,0.52582,0.52859,0.36722,0.79812,3.55434,0.97009,0.009802,0.009802,0.009802
22,4186.98,1.08077,1.17048,1.36136,0.56572,0.53454,0.54299,0.38038,0.78401,4.52845,0.96128,0.0097921,0.0097921,0.0097921
23,4376.8,1.06872,1.16046,1.35325,0.56058,0.55088,0.54263,0.38353,0.76863,3.3621,0.95156,0.0097822,0.0097822,0.0097822
24,4566.58,1.06054,1.14079,1.3416,0.54383,0.55598,0.54228,0.38362,0.77085,3.83687,0.9505,0.0097723,0.0097723,0.0097723
25,4756.28,1.04931,1.13372,1.33912,0.54004,0.57396,0.564,0.39968,0.77084,3.60148,0.95334,0.0097624,0.0097624,0.0097624
26,4946.25,1.05023,1.11687,1.33198,0.59109,0.549,0.57224,0.40738,0.75236,2.98565,0.93402,0.0097525,0.0097525,0.0097525
27,5136.03,1.0374,1.10399,1.32267,0.59709,0.53898,0.56923,0.40622,0.75777,3.28888,0.94165,0.0097426,0.0097426,0.0097426
28,5325.07,1.03513,1.10452,1.32347,0.56894,0.5698,0.57204,0.40415,0.75227,2.87755,0.94006,0.0097327,0.0097327,0.0097327
29,5514.29,1.01786,1.08179,1.31102,0.5859,0.57036,0.5789,0.41258,0.75447,2.92632,0.93847,0.0097228,0.0097228,0.0097228
30,5704.11,1.02366,1.07669,1.31455,0.60061,0.57268,0.5755,0.41043,0.74818,3.01556,0.93441,0.0097129,0.0097129,0.0097129
31,5893.46,1.00703,1.05201,1.30042,0.58475,0.59785,0.60242,0.43278,0.74553,2.63343,0.93156,0.009703,0.009703,0.009703
32,6083.42,1.01329,1.05568,1.30537,0.59787,0.59448,0.59931,0.43269,0.7305,2.69438,0.9169,0.0096931,0.0096931,0.0096931
33,6272.74,1.00194,1.03914,1.29518,0.61946,0.5831,0.60396,0.43899,0.73029,2.54506,0.91953,0.0096832,0.0096832,0.0096832
34,6462.76,0.99636,1.03174,1.29005,0.62265,0.59908,0.61453,0.44617,0.71919,2.75545,0.91022,0.0096733,0.0096733,0.0096733
35,6652.77,0.98898,1.02071,1.28915,0.62501,0.59006,0.61313,0.44539,0.72327,1.96329,0.91195,0.0096634,0.0096634,0.0096634
36,6842.01,0.98344,1.00966,1.28084,0.61773,0.59571,0.61287,0.4462,0.73035,2.25039,0.91915,0.0096535,0.0096535,0.0096535
37,7031.47,0.98155,1.00165,1.28294,0.62599,0.59121,0.62102,0.45486,0.7041,2.5575,0.90061,0.0096436,0.0096436,0.0096436
38,7221.28,0.97874,1.00475,1.27898,0.61696,0.60605,0.61982,0.45413,0.70688,2.18535,0.90339,0.0096337,0.0096337,0.0096337
39,7410.51,0.97413,0.99144,1.27357,0.62941,0.61089,0.62437,0.45874,0.71225,2.36037,0.90203,0.0096238,0.0096238,0.0096238
40,7600.17,0.96766,0.98148,1.27013,0.62398,0.61433,0.63169,0.46692,0.70552,2.08521,0.90071,0.0096139,0.0096139,0.0096139
41,7790.06,0.96571,0.97336,1.26516,0.6435,0.59713,0.63486,0.46834,0.70272,1.8672,0.90301,0.009604,0.009604,0.009604
42,7979.73,0.95081,0.96319,1.26324,0.627,0.61307,0.63393,0.46875,0.69967,1.97076,0.89539,0.0095941,0.0095941,0.0095941
43,8169.7,0.95659,0.95857,1.25927,0.65841,0.60063,0.64423,0.47734,0.69272,1.71715,0.88895,0.0095842,0.0095842,0.0095842
44,8359.52,0.95445,0.95733,1.26168,0.62872,0.61251,0.64271,0.47652,0.68884,1.84019,0.88526,0.0095743,0.0095743,0.0095743
45,8548.82,0.95095,0.94767,1.25423,0.66454,0.5882,0.64148,0.4758,0.69418,1.79069,0.88537,0.0095644,0.0095644,0.0095644
46,8738.1,0.94246,0.9351,1.25094,0.63474,0.61887,0.64431,0.48046,0.69093,1.61579,0.8889,0.0095545,0.0095545,0.0095545
47,8928,0.946,0.93759,1.25012,0.67733,0.60206,0.65474,0.48715,0.69097,1.48892,0.88611,0.0095446,0.0095446,0.0095446
48,9117.68,0.93561,0.9253,1.24113,0.68558,0.5845,0.64891,0.48446,0.68601,1.64053,0.8873,0.0095347,0.0095347,0.0095347
49,9306.91,0.93419,0.92515,1.24498,0.66904,0.6073,0.65448,0.48768,0.67499,1.60741,0.87631,0.0095248,0.0095248,0.0095248
50,9496.72,0.93144,0.91509,1.24274,0.66152,0.60405,0.65821,0.49129,0.67648,1.61047,0.87664,0.0095149,0.0095149,0.0095149
51,9686.4,0.91846,0.90144,1.22988,0.65896,0.62115,0.65241,0.49028,0.67241,1.59051,0.87571,0.009505,0.009505,0.009505
52,9875.63,0.92818,0.90749,1.23522,0.68217,0.59713,0.65198,0.48898,0.66984,1.40216,0.86984,0.0094951,0.0094951,0.0094951
53,10064.7,0.91968,0.89435,1.23291,0.69644,0.59548,0.65417,0.4922,0.66986,1.31431,0.86961,0.0094852,0.0094852,0.0094852
54,10254.3,0.91686,0.89055,1.22804,0.67111,0.61032,0.65931,0.49708,0.66841,1.31891,0.86827,0.0094753,0.0094753,0.0094753
55,10444.2,0.91452,0.88152,1.22762,0.6759,0.61271,0.66108,0.49776,0.66603,1.28086,0.8681,0.0094654,0.0094654,0.0094654
56,10634,0.91075,0.88124,1.22357,0.70714,0.58001,0.6556,0.49414,0.66249,1.24627,0.86781,0.0094555,0.0094555,0.0094555
57,10822.9,0.91299,0.89007,1.22686,0.67088,0.61616,0.65881,0.49803,0.65731,1.26327,0.86379,0.0094456,0.0094456,0.0094456
58,11012.6,0.90362,0.87334,1.22405,0.67116,0.61703,0.6677,0.5048,0.65671,1.22559,0.86382,0.0094357,0.0094357,0.0094357
59,11202.3,0.89877,0.87304,1.22177,0.68821,0.60806,0.66879,0.50764,0.65436,1.29207,0.86406,0.0094258,0.0094258,0.0094258
60,11392.1,0.89853,0.86626,1.21397,0.64659,0.64973,0.67217,0.5095,0.65529,1.37703,0.86161,0.0094159,0.0094159,0.0094159
61,11581.9,0.90042,0.87025,1.21588,0.65871,0.63577,0.66919,0.50824,0.65239,1.45767,0.85855,0.009406,0.009406,0.009406
